AAIIIIIIIIIIIII,"See Notepad"
NOMOREMRNICEGUY,"Strategy-change declaration"
NOMOREQUESTIONS,"""Hands down!"""
NONAGRICULTURAL,"Job category"
NONCOMPOSMANTIS,"Batty, bugwise?"
NONCOMPOSMANTIS,"Bug's favorite state of mind?"
NONCOMPOSMENTIS,"Crazy"
NONCOMPOSMENTIS,"Not all there"
NONCONTIGUOUSLY,"How this puzzle's black squares are arranged"
NONDAIRYCREAMER,"Coffee additive"
NONDAIRYCREAMER,"Coffee drinker's oxymoron"
NONDAIRYCREAMER,"Donut shop freebie"
NONDAIRYDREAMER,"Lactose-free visionary?"
NONEBUTTHEBRAVE,"1956 Frank Sinatra film"
NONEBUTTHEBRAVE,"1965 Frank Sinatra movie"
NONEBUTTHEBRAVE,"1965 Sinatra war movie"
NONEEDTOTHANKME,"""My pleasure"""
NONEEDTOTHANKME,"Helpful person's line"
NONEFFERVESCENT,"FLAT"
NONEFFERVESCENT,"Flat"
NONGOVERNMENTAL,"Independent, as some agencies"
NONINTOXICATING,"Like limeade or iced tea"
NONPARTICIPANTS,"Bystanders"
NONSTANDARDHAND,"Big bobtail, big cat, or skip straight, e.g.*"
NONTOTALITARIAN,"Democratic"
NONTOXICAVENGER,"Hero who's safe for kids?"
NOOBJECTCREATED,"Start of a quote by Arthur Beiser"
NOODLECASSEROLE,"Head chef's potluck special"
NOODLECASSEROLE,"Potluck dinner dish"
NOODLECASSEROLE,"Potluck favorite"
NOODLECASSEROLE,"Potluck special, sometimes"
NOODLECASSEROLE,"Potluck staple"
NOONEHASEVERBET,"Start of a race track comment"
NOOSECONFERENCE,"Where cowpokes are shown the ropes?"
NOOSESOUTHWALES,"Australian state that strictly enforces the death penalty?"
NOPLACELIKEHOME,"End of a popular saying related to this puzzle's theme"
NOPLACELIKEHOME,"Globetrotter's catchphrase"
NOPLACELIKEHOME,"Globetrotter's catchphrase, perhaps"
NOPLACELIKEHOME,"Traveler's lament"
NOPLACELIKEROME,"Italian travel bureau slogan?"
NOPLACELIKEROME,"Tribute to an Italian city?"
NOPOETRYINMONEY,"Part 4 of the quotation"
NOPRESERVATIVES,"Label for the health-conscious"
NOPUNCHINTENDED,"""Sorry, I only meant to poke you gently""?"
NORAHNORAHNORAH,"Cheers for singer Jones?"
NOREASTERISLAND,"Windy spot in the water?"
NORETURNOFPOINT,"Ace consequence?"
NORETURNOFPOINT,"Pencil-sharpening problem?"
NORFOLKVIRGINIA,"City where Gen. Douglas MacArthur is buried"
NORFOLKVIRGINIA,"Home of the world's largest naval base"
NORHYMEORREASON,"Reason for editor's rejection"
NORMAJEANBIKERS,"Motorcycle club for Marilyn Monroe fans?"
NORMALPROCEDURE,"Standard practice"
NORMALPULSERATE,"A regular beating?"
NORMANBELGEDDES,"Noted industrial designer"
NORMAROBINBETTY,"Shearer, Givens, and Grable"
NORMSCHWARZKOPF,"""Desert Storm"" general"
NOROOMFORTHECAR,"Result of 17A"
NORSELITERATURE,"Sagas, say"
NORSELITERATURE,"Viking stories, e.g."
NORTHANGERABBEY,"Jane Austen book posthumously published in 1818"
NORTHBATTLEFORD,"Saskatchewan city"
NORTHBATTLEFORD,"Saskatchewan town"
NORTHDAKOTAFATS,"Pool shark who went west?"
NORTHDALLASFORT,"Movie about a Texas stockade?"
NORTHERNIRELAND,"Homeland of flutist James Galway"
NORTHERNIRELAND,"Ulster"
NORTHERNROMANIA,"Where the Carpathian Mountains begin"
NORTHFARGOCRASH,"Tragedy at Hector International Airport?"
NORTHVIETNAMESE,"1960s-'70s foe"
NORTHVIETNAMESE,"Haiphong resident, before 1976"
NORTHVIETNAMESE,"Hanoi residents, in the '60s"
NORTHWESTBYWEST,"Surveyor's point"
NORTHXNORTHWEST,"1959 thriller"
NORWEGIANTHRONE,"Where Olaf I or Olaf II sat"
NOSADSONGSFORME,"1950 Margaret Sullavan movie"
NOSEDLIQUORROCK,"Three that are HARD-HEADED"
NOSHITFORBRAINS,"""Try this snack - you'll get smarter!""?"
NOSKINOFFMYBACK,"""So what?!"""
NOSKINOFFMYNOSE,"""Doesn't affect me at all"""
NOSKINOFFMYNOSE,"""Doesn't bother me a bit"""
NOSKINOFFMYNOSE,"""Doesn't bother me"""
NOSKINOFFMYNOSE,"Indifferent remark"
NOSKINOFFMYNOSE,"So what!"
NOSNOWPREDICTED,"Disappointing weather report to some, and a hint to 17A, 28A, and 47A"
NOSPARKLINGZONE,"Studio of a designer who forbids the use of sequins?"
NOSPRINGCHECKIN,"Sign at the Three Seasons Hotel?"
NOSPRINGCHECKIN,"Sign on the door of a hotel that's closed from March 21 to June 21?"
NOSPRINGCHECKIN,"Ski resort caveat?"
NOSPRINGCHICKEN,"An old-timer"
NOSPRINGCHICKEN,"Appearing run-down?"
NOSPRINGCHICKEN,"Getting on"
NOSPRINGCHICKEN,"Hardly a youngster"
NOSPRINGCHICKEN,"Old-timer, perhaps"
NOSPRINGCHICKEN,"One past his prime"
NOSPRINGCHICKEN,"Something old"
NOSPRINGCHICKEN,"What an old-timer may be called"
NOSTONEUNTURNED,"Leave ___: search thoroughly"
NOSTONEUNTURNED,"Leave —— (be thorough)"
NOSYCORPORATION,"Prying electronics company?"
NOSYPLAYSTATION,"Gaming system that collects lots of personal information?"
NOTAFTERTONIGHT,"""Come here often?"""
NOTAHAPPYCAMPER,"Upset"
NOTANIGHTPERSON,"Like one who consistently retires early?"
NOTANIGHTPERSON,"What could be said of this puzzle's subject?"
NOTBYALONGSIGHT,"Definitely out of the question"
NOTBYDREADALONE,"Mystery book inspired by Matthew?"
NOTCHBILLINGHAT,"Three more top followers"
NOTCHFORNOTHING,"Record of an imaginary success?"
NOTEDNOSENIPPER,"*"
NOTEDWATERFALLS,"Dictionary table"
NOTEPRECEDINGDO,"Ti"
NOTESONASCANDAL,"2006 Cate Blanchett film"
NOTESONASCANDAL,"2006 film with the tagline ""One woman's mistake is another's opportunity"""
NOTESONTHESTAFF,"'Every Good Boy Does Fine'"
NOTEVERYTHINGIN,"More of quote"
NOTFITFORTHEJOB,"""I taught gym until they told me I was ___"""
NOTGIVEAHOOTFOR,"Be indifferent about"
NOTGOODFORDATES,"Negative Yelp.com review of a calendar company?"
NOTHAPPYABOUTIT,"I don't know what ""melancholy"" means and I'm..."
NOTHCIRCLEAHCIM,"Author of Jurassic Park, spelled backwards (sorry, couldn't resist)"
NOTHINGAGESYOUR,"Start of Evan Esar quip"
NOTHINGCONCRETE,"""I was getting a strange vibe from her, but ___..."""
NOTHINGCONCRETE,"They suspected the cement mason but had ___"
NOTHINGEXPOSURE,"Tell-all that doesn't actually tell all that much?"
NOTHINGGOESHERE,"Leave blank?"
NOTHINGIMPROVES,"Start of an office quip"
NOTHINGINCOMMON,"Cold start?"
NOTHINGINCOMMON,"Hanks flick, 1986"
NOTHINGINCOMMON,"Hanks-Gleason film: 1986"
NOTHINGINCOMMON,"Possible title for this puzzle"
NOTHINGINCOMMON,"What mismatches have"
NOTHINGINCOMMON,"What polar opposites have"
NOTHINGINCOMMON,"What selfish individuals have?"
NOTHINGINCOMMON,"What total opposites have"
NOTHINGINTENNIS,"LOVE"
NOTHINGISBETTER,"Syllogism, part 1"
NOTHINGISBETTER,"Words of praise or words of condemnation"
NOTHINGISOFTENA,"Start of a quote by Will Durant"
NOTHINGISSACRED,"Former U.S. Open champ Martina's feeling about an icon?"
NOTHINGSTICKSTO,"Slick observation made while washing dishes, part one"
NOTHINGTHETRUTH,"Part of a familiar oath"
NOTHINGTODOWITH,"Have ___ (avoid)"
NOTHINGTOULOUSE,"""Might as well try it""?"
NOTHINGWILLKILL,"First part of an entertaining thought"
NOTHINGWILLKILL,"First part of the thought"
NOTIFICANHELPIT,"""Over my dead body!"""
NOTIFICANHELPIT,"""Over my dead body!"" / Alert [split]"
NOTIMEFORCOMEDY,"""What can you say about the current period?"""
NOTIMEFORSERGES,"Gainsbourg/Koussevitzky disdainers' attitude?"
NOTINMYBACKYARD,"""Build it somewhere else!"""
NOTINMYBACKYARD,"""Put it somewhere else!"""
NOTIONFORPROFIT,"""Let's try e-tailing!""?"
NOTKNOWFROMADAM,"Be unacquainted with"
NOTLOOKINGSOHOT,"""Doubtful"""
NOTMUCHTOLOOKAT,"Hardly a knockout"
NOTMUCHTOLOOKAT,"Plain-featured"
NOTONESCUPOFTEA,"Unappealing"
NOTONTHEROSTRUM,"Unscheduled to speak?"
NOTORIOUSPSYCHO,"Person on the FBI's ""Ten Most Wanted"" list?"
NOTORIOUSPSYCHO,"Ted Bundy or Jeffrey Dahmer?"
NOTPROPERLYAGED,"Green"
NOTRUMPCONTRACT,"Bridge player's commitment, perhaps"
NOTSOFASTBUSTER,"""WHOA!"""
NOTSOLDINSTORES,"Ad come-on #4"
NOTSOLDINSTORES,"Ad line #3"
NOTSOLDINSTORES,"Come-on line"
NOTSOLDINSTORES,"Commercial air line?"
NOTSOLDINSTORES,"Commercial come-on"
NOTSOLDINSTORES,"Disproved! I spotted it at Wal-Mart!"
NOTSOLDINSTORES,"Gettable only by net?"
NOTSOLDINSTORES,"Infomercial come-on"
NOTSOLDINSTORES,"Infomercial line"
NOTSOLDINSTORES,"Infomercial phrase"
NOTSOLDINSTORES,"TV ad line"
NOTSTANDACHANCE,"Be doomed"
NOTSTOPUNTILYOU,"Part 6 of quote"
NOTSTOPUNTILYOU,"Part six of quote"
NOTSUCCESSATALL,"End of Quindlen quote"
NOTTOBEBELIEVED,"Incredible"
NOTTOBEBELIEVED,"Mind-boggling"
NOTTOBOTHERTHEM,"End of the riddle"
NOTTOEXAGGERATE,"End of the advice"
NOTTOOQUICKDICK,"Dense private eye?"
NOTWINSITUATION,"Birth of a single child?"
NOTWITHSTANDING,"Anyway"
NOTWOARETHESAME,"Like dissimilar things"
NOTWOARETHESAME,"Multiform"
NOUNIFYINGMOTIF,"What this puzzle has? (not really)"
NOUVELLECUISINE,"Style eschewing heavy sauces"
NOVELEXPERIENCE,"English Lit class: A -- 'All we had to do was read one book; a very ___'"
NOVELISTMURDOCH,"IRIS"
NOVEMBERCLASSIC,"The World Series, to a procrastinator?"
NOVICEPRESIDENT,"Inauguration Day figure?"
NOVICEPRESIDENT,"What Bill Clinton was in '93?"
NOVIEWISGREATER,"Part 2 of quip"
NOVISORSALLOWED,"Sign prohibiting sunshades?"
NOVOLTINSURANCE,"Policy protecting against loss of electromotive force?"
NOVOLTINSURANCE,"Power outage protection?"
NOWALKINTHEPARK,"Pretty challenging"
NOWAYINTHEWORLD,"Not a chance!"
NOWEANSITUATION,"State of a bottle-fed baby?"
NOWHIMSITUATION,"State free of caprice?"
NOWIHAVEANEXTRA,"Quip: Part 2"
NOWINAMEMANIWON,"""Then there's this guy I'm seeing..."""
NOWINSITUATIONS,"Binds"
NOWYOURETALKING,"""I like it!"""
NOWYOURETALKING,"""Right on!"""
NOWYOURETALKING,"""That's more like it!"""
NOWYOURETALKING,"""That's the ticket!"""
NOWYOURETALKING,"Comment to a baby after its first words?"
NOWYOURETALKING,"Line of agreement"
NTIONLSSOCITION,"Part of N.A.A.C.P."
NTNLRSTRNTSSCTN,"Food service industry organization since 1919"
NTOINELAVOISIER,"Victim of 5/8/1794"
NUCLEARARSENALS,"Cold-war collections"
NUCLEARARSENALS,"Disarmament treaty concerns"
NUCLEARFAMILIES,"Two-generation groups"
NUCLEARFOOTBALL,"Mobile element of national defense"
NUCLEARINFUSION,"Cash injection for the atomic energy industry?"
NUCLEARMELTDOWN,"It'll result from inadequate cooling"
NUCLEARREACTION,"Major physics event"
NUCLEARTESTBANE,"Fallout?"
NUCLEARWARSHIPS,"Some subs"
NUCLEARWARSHIPS,"Subs, with peacekeepers"
NUDIEANOTHERDAY,"The first X-rated Bond film?"
NUMBERCRUNCHERS,"*Financial analysts"
NUMBERCRUNCHING,"Workout for math majors?"
NUMBEREDACCOUNT,"Swiss bank offering"
NUMBEROFLETTERS,"Step One: For every answer in this crossword, count this"
NUMBERSCRUNCHER,"Accountant"
NUMBERSEVENTEEN,"1932"
NUMBERTWOPENCIL,"Test requirement, at times"
NUMBERTWOPENCIL,"Test taker's writing implement, often"
NUMERICKEYPAWED,"Evidence of computer tampering?"
NUMSKULLSESSION,"Meeting of nitwits?"
NURSECLINICIANS,"Relatives of physician's assistants"
NURSECLINICIANS,"They may perform minor surgeries"
NURSERESENTMENT,"Get more and more bitter"
NURSERYGARDENER,"Mary"
NUTCRACKERSUITE,"Classic holiday entertainment"
NUTCRACKERSUITE,"Seasonal music"
NUTCRACKERSUITE,"Selections from a Tchaikovsky ballet"
NUTCRACKERSUITE,"Squirrel's nest?"
NUTCRACKERSUITE,"Tchaikovsky favorite"
NUTHATCHEDROOFS,"Tops of houses covered with small birds?"
NYPDBLUEBERRIES,"Dennis Franz's favorite cereal topping?"
NYSTOCKEXCHANGE,"The Big Board, to a postal worker?"
NYSTOCKEXCHANGE,"Wall St. institution"
OAKLEAFCLUSTERS,"Multiple military medals"
OAKPARKILLINOIS,"Windy City neighbor"
OANGERIVERCOLON,"What the South African province Free State was called a century ago"
OBEDIENCELESSON,"Opportunity to learn to speak"
OBEDIENCESCHOOL,"Place for man's best friend, sometimes"
OBEDIENCESCHOOL,"Place you might ask a friend to stay"
OBEDIENCESCHOOL,"Where you might tell a friend to stay?"
OBEYREGULATIONS,"Go by the book"
OBEYREGULATIONS,"Take no risks"
OBLIQUEBOUTIQUE,"Specialty shop in the Leaning Tower of Pisa?"
OBLIQUECRITIQUE,"Indirect evaluation"
OBLIQUECRITIQUE,"Review filled with innuendo"
OBLIVIOUSCHOICE,"Space cadet's selection?"
OBSERVATIONDECK,"Good vantage point"
OBSERVATIONDECK,"Top of a tall building, maybe"
OBSERVATIONPOST,"Source of some military intelligence"
OBSERVEREMARQUE,"Notice ""All Quiet on the Western Front"" sitting on a shelf?"
OBSTACLECOURSES,"Curriculum sessions to overcome?"
OBSTACLECOURSES,"Successor able to rent boot camp facilities (8,7)"
OBSTRUCTIONISTS,"Filibusterers"
OBTAINAMORTGAGE,"Arrange home financing"
OBTAINSRELEASES,"A thorough insurance adjuster ___"
OCCASIONALCHAIR,"Something you can sit on"
OCCUPATIONFOOLE,"George Carlin album"
OCEANICAIRLINES,"""Lost"" carrier"
OCEANLINERSTHEY,"Part 2 of quote"
OCEANPLAYGROUND,"""Canada's ___"" (licence plate motto)"
OCEANSOFLOTIONS,"Lotsa ointments"
OCEANSOFPOTIONS,"More than enough for pharmacy chains?"
OCEANSTWENTYTWO,"Frank Sinatra film of 1960"
OCEANSTWENTYTWO,"George Clooney/Brad Pitt double feature?"
OCHRISTMASTHREE,"Carol about the Magi?"
OCKANDROLLSINGE,"Checker or Domino"
OCTOBERSURPRISE,"Bombshell revealed shortly before Election Day"
OCTOBERSURPRISE,"Desperate attempt to influence an election"
OFACTIONACTLIKE,"Part 3 of quote"
OFALLHIGHSCHOOL,"Part 2 of the quip"
OFAMANORANATION,"End of the quote"
OFBAGSORPAYMENT,"End of query"
OFBATTERIESWITH,"More of a one-liner by Bernard Manning"
OFCLEARLANGUAGE,"More of the quote"
OFCONSANGUINITY,"""[The British] have been deaf to the Voice of Justice and ___."" (racism!)"
OFFBROADWAYHITS,"Candidates for Village Voice bestowals"
OFFENBACHSOONER,"Second sign on the music store door?"
OFFENDANDFUMBLE,"OAF"
OFFENSIVEREMARK,"It may be acknowledged with a slap"
OFFENSIVETACKLE,"Linesman in front of a quarterback"
OFFICEEXTENSION,"Info on a business card"
OFFICEEXTENSION,"Part of a business phone number"
OFFICERMATERIAL,"New recruit with a bright future"
OFFICERMATERIAL,"Superior recruit, e.g."
OFFICEROFTHEDAY,"Rotating military position"
OFFICESEATBOARD,"Three more back enders"
OFFICEWASNTOPEN,"And when I finally got there, the ___!"
OFFICEWITHAWIND,"Airy workplace?"
OFFICIALINQUIRY,"Scotland Yard action"
OFFOOBLANKPAGES,"Part four of quip"
OFFROOTKNOTDEAL,"Four SQUAREs"
OFFSPEEDPITCHES,"Surprises for some swingers"
OFFTOAFINESTART,"First to leave the blocks"
OFFTOAGOODSTART,"Beginning well"
OFFTOAGOODSTART,"Leading early in the race"
OFFTOAGOODSTART,"Opening well"
OFFTOAGOODSTART,"Strong out of the gate"
OFFTRACKBEDDING,"Linens for jockeys?"
OFFTRACKBEDDING,"Racing sheets?"
OFFTRACKBETTING,"Gambler's activity, at times"
OFFUTURERESULTS,"End of a historic quip"
OFFUTURERESULTS,"Underdog's motivation (Part 3)"
OFFYEARELECTION,"Fight with no new president"
OFHITTINGTHETOP,"End of quip"
OFINFINITECHEST,"With 119A, guy with pecs that won't quit?"
OFITSACTUALCLUE,"Hint, part 4"
OFKNOWINGWHENTO,"Part 2 of the tip"
OFNOCONSEQUENCE,"Eliciting a ""So what?"""
OFONESIGNORANCE,"Aphorism's end"
OFORAMUSEOFFIRE,"""Henry V"" opener"
OFROCKINGCHAIRS,"Extremely apprehensive (Part 3)"
OFRODENTSANDMEN,"Bad title choice for a Sinise remake?"
OFRODENTSANDMEN,"Generic 1939 picture based on a Steinbeck novel?"
OFSKUNKSAREPHEW,"Part 2 of quip"
OFTENGETELECTED,"Voter's observation, part four"
OFTENLEFTTHINGS,"More of the quip"
OFTENTIMESBEGIN,"Middle of the quip"
OFTHEFIRSTWATER,"Finest quality"
OFTHEFIRSTWATER,"Like a fine diamond"
OFTHEFIRSTWATER,"Top-notch"
OFTHEFIRSTWATER,"Topnotch"
OFTHEPSYCHOPATH,"End of the quip"
OFTHESAMESTRIPE,"Nearly identical"
OFTHESAMESTRIPE,"Similar"
OFTHESLIPSTREAM,"Van Morrison: ""Queen ___"""
OFTHEUNIONHOUSE,"STATE"
OFTHEWORLDGOBUY,"End of the lament"
OFTREPEATEDLINE,"Tag"
OFUNKNOWNORIGIN,"From who-knows-where"
OFUSAREINDANGER,"Part three of the quip"
OGOSHOGOLLYOGEE,"""Hey, wow, an S-shaped molding""?"
OGOTYAWGNORWEHT,"Traveling up a down staircase, e.g."
OHHENRYCANDYBAR,"Sweet treat with an exclamation point in its name"
OHIOABBREVIATED,"O"
OHIOPRETTYWOMAN,"#1 song of 1964"
OHMABBREVIATION,"O"
OHMOONOFALABAMA,"Brecht-Weill chorus line"
OHTOBEINENGLAND,"Browning opening line preceding ""Now that April's there"""
OHWHENTHESAINTS,"Intro to Mardi Gras, perhaps"
OILSOUPALUMINUM,"The last three can openers"
OILYBOYDSPECIAL,"Cheers bartender Woody's slimy menu addition, in his new Brooklyn bar?"
OJNABSBOBSBANJO,"Dole's instrument swiped by Simpson?"
OKAYBALLSOFFIRE,"Mediocre Jerry Lee Lewis hit?"
OKAYTROYTOHITME,"New Yorker's dare?"
OKBUTALLIGOTWAS,"Line 2 of the message"
OKCOMPUTERWORLD,"Average place to buy a laptop? (Radiohead / Kraftwerk)"
OKEEFFEMEABREAK,"Reaction to American art prices?"
OKEEFFEMEABREAK,"Request for artist Georgia's forbearance?"
OKEFENOKEESWAMP,"It's in southeast Georgia"
OKEFENOKEESWAMP,"Pogo's home"
OKEFENOKEESWAMP,"Pogo's sticks?"
OKEFENOKEESWAMP,"Southeastern wetland"
OKGIVEMEMYMONEY,"Mugger's new demand"
OKIGETITALREADY,"""You've made your point!"""
OKLAHOMASOONERS,"1972 Sugar Bowl winners (twice)"
OKLAHOMASOONERS,"Big 12 team"
OKLAHOMASOONERS,"Big Eight team"
OKLAHOMASOONERS,"Crimson-and-cream team"
OKLINEANDSINKER,"Garden-variety tackle?"
OKTOBERFESTTUNE,"POLKA"
OLAJUWONRUSSELL,"1994 winner and a five-time winner"
OLAZABALSARAZEN,"1994/1999 AND 1935 WINNERS"
OLDAACHENBUCKET,"Item in a German well?"
OLDACQUAINTANCE,"Longtime pal"
OLDAGEPENSIONER,"Certain geriatric receiving regular income"
OLDASMETHUSELAH,"Ancient"
OLDASMETHUSELAH,"Getting on"
OLDASMETHUSELAH,"Hoary"
OLDASMETHUSELAH,"Timeworn, as a joke"
OLDBLOODANDGUTS,"Gen. Patton"
OLDBLOODANDGUTS,"General Patton's nickname"
OLDBLOODANDGUTS,"George Patton"
OLDBLOODANDGUTS,"Nickname for General Patton"
OLDBLOODANDGUTS,"Nickname of Gen. George Patton"
OLDBLOODANDGUTS,"Patton's nickname"
OLDBLOODANDGUTS,"The two top-selling items at the Fair gift shop?"
OLDCHESTNUTSETC,"Theme of this puzzle"
OLDEIGHTTOSEVEN,"Nickname for President Hayes, from his margin of victory"
OLDENRETRIEVERS,"Ancient dogs?"
OLDESTPRESIDENT,"Reagan, in Washington, D.C."
OLDGROWTHFOREST,"Much of Redwood National Park"
OLDKINGCOLESLAW,"Merry soul's cabbage salad"
OLDKINGCOLESLAW,"Side order at the Storybook Cafe?"
OLDMANANDTHESEA,"1952 novel"
OLDMANANDTHESEA,"1958 Spencer Tracy film, with ""The"""
OLDMANANDTHESEA,"Book that convinced the Nobel Committee to award Hemingway its Literature prize (with ""The"")"
OLDMANANDTHESEA,"Hemingway novel, with ""The"""
OLDMANANDTHESEA,"Hemingway novel, with 'The'"
OLDMANANDTHESEA,"Spencer Tracy Oscar-nominated film (with ""The"")"
OLDMANANDTHESEA,"Spencer Tracy flick (with ""The"")"
OLDMANANDTHESEA,"Title, with ""The""..."
OLDMANANDTHESEA,"With ""The"", Hemingway tale of a Cuban fisherman"
OLDMANANDTHESEA,"With ""The,"" a 1958 Spencer Tracy flick"
OLDNEWHAMPSHIRE,"State song of the Granite State"
OLDNOTTOTOUCHIT,"End of quip"
OLDRINGINTHENEW,"""... out the ——"": Tennyson"
OLDSCHOOLREWRAP,"Salvage holiday paper like your grandmother? (New Jersey)"
OLDSCHOOLTORIES,"Really conservative Conservatives?"
OLDSONGANDDANCE,"Don't give me that!"
OLDTIMERELIGION,"Gospel classic"
OLDTVCAMERATUBE,"What the Emmy is nicknamed after"
OLDWHATSHERNAME,"""You know … THAT woman"""
OLDWHATSHISNAME,"Reference to a long-forgotten acquaintance"
OLFACTORYWORKER,"Perfume maker, really?"
OLIVEAMMUNITION,"Arsenal in a Greek food fight?"
OLIVEAMMUNITION,"Food fight missiles?"
OLIVEBAYPACKERS,"Off-color champs of 1997?"
OLIVEBEANSHONEY,"Popeye's gal conks him with a fastball?"
OLIVEBRANCHBANK,"Peaceful financial institution?"
OLIVEBYTHESWORD,"Popeye's gal in mortal danger?"
OLIVECOMPLEXION,"Mediterranean skin shade"
OLIVEGOTASECRET,"Tell-all book where Popeye's girl admits she loved Bluto?"
OLIVENEWTONJOHN,"Shady lady of ""Grease""?"
OLIVERGOLDSMITH,"""The Good-Natur'd Man"" playwright"
OLIVERGOLDSMITH,"Creator of Charles Primrose."
OLIVERTHEORPHAN,"TWIST"
OLIVETHROWAWAYS,"They're the pits"
OLYMPICDIVIDING,"Mathematical games?"
OLYMPICJUMPRAMP,"Lake Placid structure?"
OMEARAGRACEROTH,"GOLF / BASEBALL / BOWLING MARKS"
OMEGAGAMMAPITAU,"Four Greek Letters"
OMISSIONCONTROL,"Proofreader's duty?"
OMISSIONCONTROL,"Reason for checking the list twice?"
OMISSIONCONTROL,"Spell checker's job?"
OMNIAVINCITAMOR,"Obscure trivia in a common Latin phrase meaning ""nothing beats a tie in tennis""? (5,6,4)"
OMNIAVINCITAMOR,"Pronouncement from Virgil"
OMNIAVINCITAMOR,"Quote from Virgil's ""Eclogues"""
OMNIAVINCITAMOR,"Virgil maxim"
OMNIDIRECTIONAL,"Like versatile antennas"
ONAGAINOFFAGAIN,"Alternate title for this puzzle?"
ONAGAINOFFAGAIN,"Fitful"
ONAGAINOFFAGAIN,"Inconsistent"
ONAGAINOFFAGAIN,"Intermittent, as a relationship"
ONAGAINOFFAGAIN,"Intermittently"
ONAGAINOFFAGAIN,"Not continuous"
ONAGAINOFFAGAIN,"Sporadic"
ONAMAGICPETRIDE,"Like Jackie Paper sailing with Puff?"
ONAMASSIVESCALE,"Very extensively"
ONANDOFFROMANCE,"Erratic love affair"
ONANDOFFROMANCE,"Hardly everlasting love"
ONAREGULARBASIS,"Frequently"
ONATURKNICALITY,"How the bird was acquitted?"
ONBACHELORSBUTT,"Where you're likely to find three-day-old undies?"
ONBLUEBERRYHILL,"Where ""I found my thrill,"" in a '50s song"
ONBOARDCOMPUTER,"Satellite navigation system, e.g."
ONCEABASKETCASE,"End of quip"
ONCEBITTWICESHY,"Saw about caution"
ONCEBUTYOUCANBE,"Middle of the quote"
ONCEINABLUEMOON,"From time to time"
ONCEINABLUEMOON,"Hardly ever"
ONCEINABLUEMOON,"Infrequently"
ONCEINABLUEMOON,"Occasionally"
ONCEINABLUEMOON,"Practically never"
ONCEINABLUEMOON,"RARELY"
ONCEINABLUEMOON,"Rarely"
ONCEINABLUEMOON,"Seldom"
ONCEINABLUEMOON,"Sometimes"
ONCEINABLUEMOON,"Very rarely"
ONCEINALIFETIME,"Bricusse-Newley song: 1961"
ONCEINALIFETIME,"Extremely rare"
ONCEINALIFETIME,"Like certain opportunities"
ONCEINALIFETIME,"Offer to be wary of?"
ONCEINALIFETIME,"Talking Heads tune"
ONCEINALIFETIME,"Talking Heads' ""As the days go by, let the water hold me down"" song"
ONCEINALIFETIME,"Type of opportunity"
ONCEINALIFETIME,"Ultrarare"
ONCEINALIFETIME,"Very rare"
ONCEINALIFETIME,"Very rarely indeed"
ONCEISNOTENOUGH,"Jacqueline Susann best seller"
ONCEISNOTENOUGH,"Jacqueline Susann novel, and the problem with some of the answers in this puzzle"
ONCEISNOTENOUGH,"Steamy 1973 best seller"
ONCEOVERLIGHTLY,"Hasty treatment"
ONCOMINGTRAFFIC,"Bad thing to drive into"
ONCOMINGTRAFFIC,"Passing preventer"
ONCONDITIONTHAT,"Provided"
ONCONDITIONTHAT,"State of the terms?"
ONCRUISECONTROL,"Driving at a fixed speed, maybe"
ONCRUISECONTROL,"In automatic mode"
ONEAFTERANOTHER,"In single file"
ONEAFTERANOTHER,"Sequentially"
ONEAFTERANOTHER,"Single file"
ONEANDAHALFDAYS,"hours"
ONEARMEDBANDITS,"Atlantic City machines"
ONEARMEDBANDITS,"Casino staples"
ONEARMEDBANDITS,"Gambler's attractions or distractions"
ONEARMEDBANDITS,"Handicapped criminals?"
ONEARMEDBANDITS,"Las Vegas machines"
ONEARMEDBANDITS,"Reno's square machines"
ONEARMEDBANDITS,"Slot machines"
ONEARMEDBANDITS,"Slots"
ONEARMEDBANDITS,"Some gamblers' weaknesses"
ONEARMEDBANDITS,"They have quarters in Las Vegas"
ONEARMEDBANDITS,"Vegas attractions or distractions"
ONEARMEDBANDITS,"Vegas enticements"
ONEARMEDBANDITS,"Vegas sights"
ONEBAYORANOTHER,"How water lovers get things done?"
ONEBYALANDSLIDE,"Mountain climber in peril?"
ONEBYALANDSLIDE,"Mountaineer in peril?"
ONECARATDIAMOND,"See image"
ONECELLEDANIMAL,"Amoeba"
ONECELLEDANIMAL,"Slide projection?"
ONECONSTITUTION,"Middle of the quote"
ONECOULDSAYHESA,"More of the comment"
ONEDANCEAWAYPEG,"Four SQUAREs"
ONEEIGHTHUNDRED,"Start of a free call"
ONEESSAYPAINSME,"Professor's melodramatic assessment of the worst of the term papers"
ONEEYEDFACECARD,"JACK"
ONEEYEDMONSTERS,"Cyclopes"
ONEFINGERSALUTE,"Bird"
ONEFROMTHEHEART,"1982 Francis Ford Coppola film"
ONEFROMTHEHEART,"1982 musical by Francis Ford Coppola"
ONEFROMTHEHEART,"Francis Coppola comedy of 1982"
ONEHANDCLAPPING,"Quiet show of approval?"
ONEHANDCLAPPING,"Zen concept"
ONEHANDCLAPPING,"Zen sound of crowd support?"
ONEHANDONEHEART,"""West Side Story"" duet"
ONEHASFORGOTTEN,"Part 3 of quote"
ONEHUNDREDFIFTY,"Age that the Mystery Guest would turn on May 22, 2009"
