AAAADDRESS,"Motorist's org. location"
PAPERTIGER,"It has little bite"
PAPERTIGER,"It's not as threatening as it looks"
PAPERTIGER,"Its bark is worse than its bite?"
PAPERTIGER,"Its roar is worse than its bite"
PAPERTIGER,"More tearable than terrible?"
PAPERTIGER,"No big threat in Detroit?"
PAPERTIGER,"No real threat"
PAPERTIGER,"One feigning courage"
PAPERTIGER,"One outwardly powerful, inwardly weak"
PAPERTIGER,"One pretending to be powerful"
PAPERTIGER,"One who looks powerful but isn't"
PAPERTIGER,"Person feigning power"
PAPERTIGER,"Person who appears powerful but isn't"
PAPERTIGER,"Petty tyrant"
PAPERTIGER,"Phantom menace"
PAPERTIGER,"Toothless enemy"
PAPERTIGER,"Toothless threat"
PAPERTRAIL,"Accountant's creation"
PAPERTRAIL,"Corporate criminal's downfall"
PAPERTRAIL,"Documentation that often uncovers fraud"
PAPERTRAIL,"Embezzlement evidence"
PAPERTRAIL,"Evidence of corporate wrongdoing, often"
PAPERTRAIL,"Evidence of embezzlement, e.g."
PAPERTRAIL,"Incriminating records"
PAPERTRAIL,"Incriminating sequential record"
PAPERTRAIL,"Records useful for an audit"
PAPERTRAIL,"Sequential evidence"
PAPERTRAIL,"What a criminal doesn't want to leave"
PAPERTRAIL,"White-collar crime evidence, perhaps"
PAPERTRAIL,"Written evidence"
PAPERTRAIN,"Teach a boxer where to go?"
PAPERTRAIN,"Teach a puppy to poop indoors"
PAPPYYOKUM,"Al Capp character"
PAPPYYOKUM,"Li'l Abner's dad"
PARACHUTER,"Certain plane exiter"
PARACHUTES,"Two water slides?"
PARACHUTES,"Two waterfalls?"
PARADEREST,"At-ease position for soldiers"
PARADEREST,"Command to a soldier"
PARAGRAPHS,"Essay divisions"
PARAGRAPHS,"Essay units"
PARAGRAPHS,"New ones are usually indented"
PARAGRAPHS,"Two charts?"
PARALEGALS,"Attorney's aides"
PARALLELED,"Corresponded to"
PARALLELED,"Duplicated"
PARALLELED,"Was similar to"
PARALYZING,"Like some fear"
PARALYZING,"Rendering immobile, as by fear"
PARAMECIUM,"It's something in the water"
PARAMEDICS,"FIRST-aid pros"
PARAMEDICS,"FIRST-aid specialists"
PARAMEDICS,"Rescue squad members"
PARAMEDICS,"They may come to a camper's aid"
PARAMEDICS,"Two physicians?"
PARAMOUNTS,"Supreme rulers"
PARAMOUNTS,"Two peaks?"
PARAMOUNTS,"Two steeds?"
PARANNOYED,"Delusional, in an irritating sort of way?"
PARANORMAL,"Beyond scientific explanation"
PARANORMAL,"Telepathic"
PARANORMAL,"Telepathic, e.g."
PARAPHRASE,"Put another way"
PARASOLBIN,"Umbrella holder?"
PARATROOPS,"They fall in war films"
PARATROOPS,"Two scout groups?"
PARCELPOST,"*Package-mailing option"
PARCELPOST,"Method of shipping"
PARCELPOST,"PP, to a shipper"
PARCELPOST,"Package delivery service"
PARCELPOST,"Package-mailing option"
PARCELPOTS,"Mailed kitchenware?"
PARCELSOUT,"Apportions"
PARCOLYMPI,"Montreal site built specifically for 1976, if Quebec secedes?"
PARDONNOME,"Absolve a Northern port of wrongdoing?"
PAREEPARER,"Jacques Chirac's knife?"
PARENTHOOD,"1989 Steve Martin movie"
PARENTHOOD,"Adult challenge"
PARENTHOOD,"End of question"
PARENTHOOD,"FATHER'S DAYS, SAY"
PARENTHOOD,"Pop's condition"
PARENTHOOD,"The state of having children"
PARENTSGET,"MIDDLE OF QUOTE"
PARENTTRAP,"Disney movie of 1961 and 1998 (with ""The"")"
PARENTTRAP,"Remake of a 1961 film (with ""The"")"
PARESCOSTS,"Tightens the budget"
PARESPEARS,"Peels Boscs?"
PARETHEROD,"Whittle down a cane?"
PARETHEROD,"Whittle down a staff?"
PARIMUTUEL,"Machine that registers bets"
PARISGREEN,"An insecticide"
PARISGREEN,"Artist's pigment, once"
PARISGREEN,"Poisonous pigment, perhaps"
PARISGREEN,"Poisonous powder"
PARISIENNE,"Bardot or Deneuve, for example"
PARISMAINE,"Birthplace of Vice President Hannibal Hamlin"
PARISMATCH,"French magazine"
PARISPAIRS,"Capital twosomes?"
PARISPAIRS,"Couples in France?"
PARISPAIRS,"French couples?"
PARISPAIRS,"Latin Quarter couples?"
PARISSIGHT,"Tuileries, to a tourist?"
PARISSITES,"The Louvre, Notre Dame, etc.?"
PARISTEXAS,"""International"" Longhorn State city"
PARISTEXAS,"Capital of the Southwest?"
PARISTEXAS,"Red River Valley city"
PARISTROUT,"Pete Dexter novel whose title character is an unrepentant murderer"
PARKAHOUSE,"Igloo?"
PARKAVENUE,"""79 ___"" (Robbins novel)"
PARKAVENUE,"Berlin's ""Slumming on ——"": 1937"
PARKAVENUE,"Buick model"
PARKAVENUE,"Fashionable New York address"
PARKAVENUE,"Locale of luxury"
PARKAVENUE,"Swank New York address"
PARKAVENUE,"Where Citigroup and JPMorgan Chase are headquartered"
PARKFIGURE,"Ranger?"
PARKFIGURE,"Smokey Bear?"
PARKRANGER,"Forest patroller"
PARKRANGER,"Interior groundskeeper"
PARKRANGER,"Texas ballplayer?"
PARKSDRIVE,"Road in Yellowstone?"
PARLEZVOUS,"Part of a Gallic question"
PARLIAMENT,"A ___ of owls"
PARLIAMENT,"Group of owls"
PARLIAMENT,"Guy Fawkes's target"
PARLIAMENT,"Term for a group of owls, unabashedly assumed by some groups of lawmakers"
PARLORGAME,"Charades or Pictionary, say"
PARLORGAME,"Charades or Who Am I?"
PARLORGAME,"Charades, e.g."
PARLORGAME,"Charades, for example"
PARLORGAME,"Ghost, e.g."
PARLORGAME,"Indoor amusement"
PAROLEPLAY,"Production on conditional release?"
PARROTCAKE,"Dessert that isn't flying off the shelves?"
PARROTFISH,"Animal twofer?"
PARROTFISH,"Colorful swimmer with a beaklike jaw"
PARROTHEAD,"Jimmy Buffett fan"
PARROTHEAD,"Person who knows all the words to ""Margaritaville,"" presumably"
PARROTLIKE,"Repeated without thought"
PARRYWHITE,"Fencer who edited Clark Kent?"
PARSEAWORD,"Do grammatical analysis"
PARTANIMAL,"Like a centaur?"
PARTEDHAIR,"Locks around a line"
PARTIALHOG,"Side of bacon?"
PARTIALITY,"Bias"
PARTICIPLE,"Verb form"
PARTICIPLE,"Verb form used as an adjective"
PARTICIPLE,"Verbal form used as an adjective"
PARTINGSOT,"Boozehound leaving the pub?"
PARTITIONS,"Separating walls"
PARTONSHOT,"Last word from Dolly?"
PARTONSNIP,"A few notes of a Dolly song?"
PARTPOOPER,"What your dog is that gets you to walk him?"
PARTRIDGES,"Game birds"
PARTRIDGES,"Separate wales"
PARTTHEACT,"Break up a vaudeville team?"
PARTTIMERS,"Student employees, usually"
PARTWORKER,"Time out for employee?"
PARTYCHAIR,"Head of a political group"
PARTYCROWD,"Revelers"
PARTYGAMES,"Charades and Pictionary"
PARTYGIRLS,"Dates for hire"
PARTYGUEST,"One with an invitation"
PARTYLINES,"Political platforms"
PARTYLINES,"Political policies"
PARTYLINES,"Shared phone connections"
PARTYLINES,"They get people talking"
PARTYLINUS,"Social ""Peanuts"" character?"
PARTYMAMBA,"Political snake?"
PARTYMAMBA,"Wild and crazy snake?"
PARTYSCENE,"Milieu for revelers"
PARTYSLATE,"Voting booth group"
PARTYTRICK,"Bit of magic for the guests"
PASADENACA,"It's at the base of the San Gabriel Mtns."
PASQUINADE,"Lampoon"
PASQUINADE,"Public mockery"
PASSAGEWAY,"Corridor"
PASSANDOUT,"Another name for bet-or-fold*"
PASSEDBALL,"Catcher's flub"
PASSEDBALL,"Miscue by the catcher"
PASSEDOVER,"Disregarded"
PASSEDOVER,"Quarterbacks aren't fired, they're ___"
PASSEDPAWN,"It may become a queen"
PASSENGERS,"Fares"
PASSENGERS,"First part of an erroneous ""Christian Science Monitor"" headline published on April 15, 1912"
PASSENGERS,"Train travelers"
PASSESOVER,"Omits"
PASSINGFAD,"It doesn't stay in for long"
PASSIONPIT,"Drive-in theater, in old slang"
PASSIONPIT,"Drive-in, in old slang"
PASSMUSTER,"*Measure up"
PASSMUSTER,"Get through an inspection"
PASSMUSTER,"Make the grade"
PASSMUSTER,"Measure up"
PASSMUSTER,"RUMP with hidden ASSETS, in acceptable condition"
PASSMUSTER,"Survive inspection"
PASSORPLAY,"Game show choice"
PASSORPLAY,"Words from Dad the game show host?"
PASSRUSHER,"Man after Manning"
PASSTHEBAR,"Answer continued"
PASSTHEBAR,"Become a lawyer"
PASSTHEBAR,"Give up hard drink?"
PASSTHEBAR,"Teetotaler's New Year resolution?"
PASSTHEHAT,"Raise funds"
PASSTHEHAT,"Raise funds after a street performance"
PASSTHEHAT,"Seek change?"
PASSTHEHAT,"Solicit contributions"
PASTADOUGH,"Future macaroni"
PASTAMALES,"Spaghetti and meat dishes"
PASTAPARTY,"Premarathon celebration"
PASTAPRIMA,"Veggie-filled Italian dish"
PASTASALAD,"Banquet appetizer"
PASTASALAD,"Cold noodle dish"
PASTASALAD,"Common side dish at picnics"
PASTASALAD,"Deli offering"
PASTASALAD,"Noodles at the bar"
PASTASALAD,"Picnic side dish"
PASTASALAD,"Side for lunch"
PASTASALAD,"Tossed bow ties?"
PASTASAUCE,"Noodle topper"
PASTASAUCE,"Pesto, for one"
PASTASOUPS,"Some Campbell's creations"
PASTEBOARD,"Business-card paper stock"
PASTEBOARD,"Playing card"
PASTELPUNK,"Soft-toned rock genre?"
PASTEVENTS,"Historical happenings"
PASTMASTER,"Acknowledged pro"
PASTMASTER,"Chess legend, e.g."
PASTMASTER,"Expert in a field"
PASTMASTER,"Faculty member in the history department?"
PASTORALES,"History/brewed beverages"
PASTORATES,"Clergyman's terms"
PASTORATES,"Fathers' offices"
PASTRYCHEF,"One who mixes up ganache with panache?"
PASTRYCHEF,"Pâtissier? Tart person? Whatever! I'm a PC"
PASTTHEBAR,"Where Dean Martin rarely walked?"
PASTTHEBAR,"Where the teetotaler walked?"
PASTYCLINE,"Singer who needs to get out in the sun more? (adjacent-letter swap)"
PASTYFACED,"White as a sheet"
PASTYPATSY,"Sallow sucker?"
PATANDMIKE,"1952 Katharine Hepburn/Spencer Tracy movie"
PATANSWERS,"Glib responses"
PATANSWERS,"She's a prepared witness"
PATBENATAR,"""Hit Me With Your Best Shot"" singer"
PATBENATAR,"""Hit Me With Your best Shot"" singer"
PATBENATAR,"""Love Is a Battlefield"" singer, 1983"
PATBENATAR,"""Love is a Battlefield"" singer"
PATBENATAR,"'Hit Me With Your Best Shot' singer"
PATBENATAR,"Singer born Patricia Andrejewski"
PATBENATAR,"Singer with the second video ever played on MTV"
PATBUTTRAM,"Gene Autry sidekick"
PATCARROLL,"1956 ""Caesar's Hour"" Emmy winner"
PATCARROLL,"Caress a comedienne?"
PATCHADAMS,"1998 Robin Williams film"
PATCHADAMS,"1998 Robin Williams title role"
PATCHADAMS,"Doctor played by Robin Williams"
PATCHADAMS,"Film with Robin Williams as a medical student"
PATCHADAMS,"Robin Williams film"
PATCHADAMS,"Robin Williams role"
PATENTDING,"Bell sound that's quite obvious?"
PATENTRITE,"Ceremony for inventors"
PATESPLATE,"A golfer's dish?"
PATHETIQUE,"Beethoven's Piano Sonata No. 8"
PATHETIQUE,"Tchaikovsky's 6th Symphony"
PATHETIQUE,"Tchaikovsky's last symphony"
PATHFINDER,"""The ___"": J.F. Cooper novel"
PATHFINDER,"A ___!..."
PATHFINDER,"Byway seeker"
PATHFINDER,"Unmanned spacecraft that landed on Mars to obtain climatic and geologic data (July 4, 1997)"
PATISSERIE,"Bake shop"
PATISSERIE,"Éclair seller"
PATMETHENY,"Jazz guitarist who owns a 42-string guitar"
PATPAULSEN,"1968 presidential candidate"
PATPAULSEN,"Comedic presidential candidate"
PATPAULSEN,"Comic who ran for president"
PATPAULSEN,"Perennial 70's presidential candidate?"
PATRICIATE,"Aristocracy"
PATRICKROY,"He's played more playoff games between the pipes than anyone else (179)"
PATRICKROY,"In 1999 he became the youngest goalie ever to record 400 victories"
PATRIOTACT,"Antiterrorism legislation of 2001"
PATRIOTACT,"Legislation signed 10/26/2001"
PATRIOTACT,"Statute read from an ice cream truck in ""Fahrenheit 9/11"""
PATRIOTGAS,"Gulf War missile fuel?"
PATROBERTS,"Plains senator"
PATROLBOAT,"Part of the game"
PATROLBOAT,"Smuggler's nemesis"
PATROLBOAT,"Vessel providing coastal defense"
PATROLCARS,"Cruisers"
PATROLCARS,"Line outside a police station?"
PATSAPUPPY,"""This is the pet-store owner's kid..."""
PATSYCLINE,"""Crazy"" country singer, 1961"
PATSYCLINE,"""Crazy"" crooner"
PATSYCLINE,"""Crazy"" singer"
PATSYCLINE,"""I Fall to Pieces"" singer"
PATSYCLINE,"""Sentimentally Yours"" singer"
PATSYCLINE,"""The Wayward Wind"" singer"
PATSYCLINE,"""Walkin' After Midnight"" singer"
PATSYCLINE,"'Sweet Dreams' singer"
PATSYCLINE,"Beverly D'Angelo (1980), Jessica Lange 1985)"
PATSYCLINE,"Country legend dropping in?"
PATSYCLINE,"Country singer with the 1961 hit ""Crazy"""
PATSYCLINE,"Country star who died in a 1963 plane crash"
PATTEDDOWN,"Searched, in a way"
PATTERNING,"Copying, with ""after"""
PATTILAPEL,"Singer who's always in fashion?"
PATTISMITH,"'Because the Night' singer"
PATTYHOIST,"Brooklyn burger caper?"
PATTYHOIST,"Lifting of a hamburger?"
PATTYPHONE,"Duke's Droid?"
PATTYSCALE,"Device for making identical burgers?"
PATTYSMYTH,"Scandal lead singer who married John McEnroe"
PATVERBEEK,"He's played more than 1,350 games for five teams"
PAUGASOHOL,"Spanish NBA player who explodes in a volatile fuel mix?"
PAULAABDUL,"""Forever Your Girl"" singer"
PAULAABDUL,"American Idol judge"
PAULAABDUL,"Former ""American Idol"" judge"
PAULAUSTER,"Author of ""The New York Trilogy"""
PAULBEARER,"McCartney's limo?"
PAULBEARER,"TV horror host who always seems to have a great weight on his shoulders? (NOTE: This one really existed. He was a Tampa, Fla., fave from 1971 to '95, the longest-running horror host on TV.)"
PAULBEARER,"___, Funeral Director"
PAULBOWLES,"... but also plays tennis"
PAULBUNYAN,"BABE MAGNET. Very tall, rugged outdoorsman. Enjoys cutting-edge technology..."
PAULBUNYAN,"Babe's owner"
PAULBUNYAN,"Performer of prodigious feats"
PAULCONRAD,"Multiple Pulitzer-winning political cartoonist added to Nixon's enemies list in 1973"
PAULCONRAD,"Political cartoonist added in 1973 to Nixon's enemies list"
PAULCONRAD,"Three-time Editorial Cartooning Pulitzer winner"
PAULDOMBEY,"Dickensian title character"
PAULGNUMAN,"Actor with animal magnetism?"
PAULHARVEY,"""Good day"" wisher"
PAULKERSEY,"Charles Bronson's ""Death Wish"" role"
PAULKRAUSE,"His 81 interceptions make him the NFL's all-time leader"
PAULMARTIN,"Big name in Canadian politics"
PAULMARTIN,"Federal Election caller of '04"
PAULMARTIN,"High-ranking Liberal"
PAULMARTIN,"Liberal leadership candidate"
PAULNEWMAN,"""Hud"" star"
PAULNEWMAN,"""The Color of Money"" actor"
PAULNEWMAN,"""Where the Money Is"" star"
PAULNEWMAN,"Actor born 1/26/25"
PAULNEWMAN,"Actor to whom this puzzle is dedicated (1/26/1925–9/26/2008)"
PAULNEWMAN,"Cover subject of the first issue of Us magazine"
PAULNEWMAN,"Harry in ""Harry and Son"""
PAULNEWMAN,"His first film was ""The Silver Chalice"""
PAULNEWMAN,"Oscar actor for ""The Color of Money"""
PAULNEWMAN,"Rocky Graziano in a film"
PAULNEWMAN,"Star of ""The Mackintosh Man"""
PAULNEWMAN,"Star of this puzzle"
PAULONEILL,"1993-99 RIGHTFIELDER"
PAULONEILL,"He tripled twice during the Subway Series -- after not tripling at all during the regular season"
PAULONEILL,"Right fielder on the Yankees with the same name as a former Secretary of the Treasury"
PAULONEILL,"Surprise Bush pick... who tripled twice during the Subway Series"
PAULOWNIAS,"Asian figwort trees"
PAULPIERCE,"All-star guard of the Boston Celtics"
PAULREISER,"""Mad About You"" star"
PAULREISER,"___ came as a balloonist"
PAULREVERE,"Colonial silversmith"
PAULREVERE,"Freedom rider"
PAULREVERE,"He didn't really cry ""The British are coming!"""
PAULREVERE,"He worked with Robert Fulton to develop copper boilers for steamboats"
PAULREVERE,"Horseback rider of April 18, 1775: 2 wds."
PAULREVERE,"Patriot born 1/1/1735"
PAULREVERE,"Patriot rider"
PAULREVERE,"Revolutionary rider"
PAULREVERE,"Rider described by Longfellow"
PAULREVERE,"Subject of a Longfellow poem"
PAULYSHORE,"""Jury Duty"" star"
PAUNCHLINE,"Cause of a good belly laugh?"
PAVLOVSDOG,"Behavioral science paradigm"
PAWAPAWPAW,"Manhandle a fruit tree?"
PAWNBROKER,"Financier of last resort"
PAWNBROKER,"He sells chess pieces?"
PAWNBROKER,"Hockshop proprietor"
PAWNBROKER,"Moonlighting chess player?"
PAWNBROKER,"Occupation with an unsavory reputation"
PAWNBROKER,"One making loans"
PAWNBROKER,"Seller of chess pieces?"
PAWNBROKER,"Seller of small chess pieces?"
PAWNEEPAWN,"Tribal dupe?"
PAWNHANDLE,"Make an en passant move?"
PAWNPIECES,"Shortest chessmen"
PAWNTICKET,"Hock dock"
PAWNTICKET,"Hock shop receipt"
PAWNTICKET,"Hockshop receipt"
PAWRICHARD,"Manhandle Nixon?"
PAXMACHINE,"Office peace maker?"
PAYASYOUGO,"Alternative to buying on credit"
PAYASYOUGO,"Covering debts when they occur"
PAYASYOUGO,"Installment plan alternative"
PAYATTTION,"Be alert"
PAYCOURTTO,"Woo"
PAYDAYLOAN,"Small, short-term cash advance"
PAYPACKAGE,"Job offer particulars"
PAYPALANCE,"Square up with actor Jack?"
PAYPERVIEW,"Cable TV offering"
PAYPERVIEW,"Cable company offering"
PAYPERVIEW,"Ordered programming"
PAYPERVIEW,"Service of cable television"
PAYPERVIEW,"Television program purchase system"
PAYTOILETS,"It'll cost you to go in them"
PAYTRIBUTE,"Honor, with ""to"""
PCMAGAZINE,"It bills itself as ""The independent guide to technology"""
PCPRODUCTS,"CRTs and keyboards"
PCSOFTWARE,"Programs that won't insult anyone?"
PDARICODES,"Dircaean Swan's output"
PEABRAINED,"Not too bright"
PEACEANDAT,"Part 3 of the quote"
PEACECORPS,"Civilian group created under JFK"
PEACECORPS,"It was created by executive order on March 1st, 1961"
PEACECORPS,"March 6 is ___ Day"
PEACECORPS,"Miscreants flanking one pair of counselors for aid organization (5,5)"
PEACECORPS,"Volunteer group created in 1961"
PEACEDOVES,"Two antiwar demonstrators"
PEACEFORCE,"NATO troops, often"
PEACEMAKER,"Indian pipe smoker?"
PEACEMAKER,"Pop, perhaps"
PEACEMARCH,"A certain protest"
PEACEMARCH,"Form of protest fit for a King?"
PEACEOFFER,"Olive branch"
PEACEPIPES,"Conflict-ending symbols"
PEACEPIPES,"They go around on reservations"
PEACERIVER,"Alberta community"
PEACESIGNS,"They may be flashed at hippie gatherings"
PEACESIGNS,"Vs made with fingers"
PEACETIMES,"Post-treaty periods"
PEACETRAIN,"1971 Cat Stevens hit"
PEACETREAT,"Reward for ending the war?"
PEACHMELBA,"Dessert choice"
PEACHMELBA,"Dessert that makes one feel warm and toasty?"
PEACHMELBA,"Famous soprano's favorite dessert?"
PEACHMELBA,"Fruit and ice cream dessert"
PEACHMELBA,"Fruit dessert"
PEACHMELBA,"Fruit for Moore?"
PEACHMELBA,"Fruity dessert"
PEACHMELBA,"Ice-cream dish"
PEACHMELBA,"Singer Moore's favorite dish?"
PEACHMELBA,"Sweet treat"
PEACHMELBA,"Swiftly, to Shakespeare"
PEACHPINOT,"Fruit-flavored wine?"
PEACHSTATE,"Georgia"
PEACHSTATE,"Nickname for Georgia"
PEACHTREES,"Georgia bloomers"
PEACHYKEEN,"Great"
PEACHYKEEN,"Jim-dandy"
PEACHYKEEN,"Neat-o!"
PEACHYKEEN,"Neato"
PEACHYKENO,"Like a jim-dandy risk?"
PEACHYKENO,"Really swell, in Vegas?"
PEACHYKING,"Bang-up boss?"
PEAESYMBOL,"Emblem worn by a dove"
PEAKSPEAKS,"TV show featuring Laura Palmer, literally"
PEALSYSTEM,"Bell-ringing method?"
PEANUTBRIT,"Little Londoner?"
PEANUTFARM,"Jimmy Carter had one"
PEANUTOILS,"Fryer supplies"
PEARAMOUNT,"A bushel of Boscs?"
PEARHALVES,"Poached fruit servings"
PEARISCOPE,"Instrument for examining fruit?"
PEARLDANIO,"Aquarium fish"
PEARLINESS,"Tooth quality"
PEARLONION,"... for a chef?"
PEARLONION,"Gibson garnish"
PEARLRIVER,"Mississippi waterway"
PEARLSBUCK,"1938 Literature Nobelist"
PEARLWHITE,"""Perils of Pauline"" star"
PEARLWHITE,"""The Perils of Pauline"" actress"
PEARLWHITE,"Quiet lady of cinema"
PEARNECTAR,"Thick, sweet drink"
PEARSHAPED,"Large-bottomed"
PEARSHAPED,"Resembling a certain fruit"
PEASFARMER,"Green veggie grower?"
PEASHELLER,"Seed-separating gizmo"
PEASHOOTER,"Brat's weapon"
PEASHOOTER,"Child's toy weapon"
PEASHOOTER,"Kid's weapon"
PEASHOOTER,"Look around as husband also rejected toy weapon (10)"
PEASHOOTER,"Pellet propeller"
PEASHOOTER,"Small-caliber weapon"
PEASHOOTER,"Toy blowgun"
PEASHOOTER,"Toy weapon"
PEASHOOTER,"Toy you blow into"
PEASINAPOD,"Like things"
PEASINAPOD,"Well-matched pair"
PEAUDESOIE,"Elegant fabric"
PECCADILLO,"Faux pas"
PECCADILLO,"Indiscretion"
PECCADILLO,"Minor misdeed"
PECCADILLO,"Minor offense"
PECCADILLO,"Minor sin"
PECCADILLO,"Slight sin"
PECCADILLO,"Slip"
PECCADILLO,"Small sin"
PECCADILLO,"Small transgression"
PECCADILLO,"Trifling fault"
PECOSTEXAS,"Town that claims to have held the first rodeo"
PECTINIDAE,"""Scallop"""
PECTORALIS,"Chest muscle"
PECULIARTO,"Typical of"
PEDAGOGUES,"They have pupils"
PEDALSTEEL,"Guitar played with hands and feet"
PEDANTXING,"Where nitpickers walk on a street?"
PEDESTRIAN,"A president bungling is commonplace (10)"
PEDESTRIAN,"Walker"
PEDIATRICS,"Branch of medicine"
PEDOMETERS,"Step counters"
PEEEAGRAPE,"Dave Frishberg song"
PEEKINGMAN,"Snoop?"
PEEKSEASON,"Summer next door to the nudist camp?"
PEELAPPEAL,"Why orange zest is popular?"
PEEPINGTOM,"Cruise on the lookout?"
PEEPINGTOM,"Lady Godiva spotter"
PEEPINGTOM,"Voyeur"
PEERAGEMAN,"John Burke, Irish genealogist"
PEERREVIEW,"Academic publication process"
PEEWEEACID,"It dissolves Reese's Pieces"
PEEWEEKING,"""Slow Poke"" bandleader"
PEGGYEATON,"___ Affair (1830s scandal involving Andrew Jackson's cabinet)"
PEGGYMARCH,"""Little"" singer of ""I Will Follow Him"""
PEGGYSIOUX,"""___ Got Married"" (Indian film)?"
PEGGYSUITE,"Posh quarters for skater Fleming?"
PEINTHESKY,"Airline's exercise program?"
PEIPINGHOT,"How Irish tea was once served in China?"
PEKINGDUCK,"Chinese dish"
PEKINGDUCK,"Chinese entrée with an out-of-date name"
PEKINGDUCK,"Chinese fowl"
PEKINGDUCK,"You can get this at Shun Lee Palace, 155 E. 55th St."
PELEDOUBLE,"One who performs a soccer legend's stunts"
PELICANPIE,"Fish-eating bird's dessert?"
PELLGRANTS,"Educational assistance since 1972"
PENALBOXES,"Jail cells?"
PENALPANEL,"Trial jury?"
PENALPLANE,"Con Air jet?"
PENALTYBOX,"Hockey players' place"
PENALTYBOX,"Place to wait for a couple of minutes, maybe"
PENALTYBOX,"Where a rule-breaking Canadien may be seen"
PENALTYBOX,"Where one goes after slashing"
PENALTYBOX,"Where one goes after tripping"
PENCEYPREP,"Fictional school in 'The Catcher in the Rye'"
PENCILEDIN,"Like some eyebrows"
PENCILNECK,"Weakling"
PENDRAWING,"Ink artwork"
PENETRABLE,"Understandable in a way"
PENETRATED,"Got through"
PENETRATED,"Passed through"
PENHOLDERS,"Jail cells?"
PENICILLIN,"Common antibiotic [1928]"
PENICILLIN,"Drug introduced commercially in 1945"
PENICILLIN,"Sir Alexander Fleming discovery of 1928"
PENICILLIN,"Sir Alexander Fleming's discovery"
PENINSULAS,"Theme of this puzzle"
PENMANSHIP,"Palmer's liner"
PENMANSHIP,"The art of handwriting"
PENMANSHIP,"What doctors aren't known for"
PENMANSHIP,"When done exceptionally, it has well-defined characters"
PENNKNIVES,"Cutlery at a Philadelphia college?"
PENNPOINTS,"Credits at a Philadelphia college?"
PENNSWOODS,"Keystone State, once"
PENNWINNER,"Philly champion?"
PENNYCANDY,"Cheap confection"
PENNYCANDY,"Inexpensive confection"
PENNYCANDY,"Inexpensive sweets of old"
PENNYCANDY,"Inexpensive treat"
PENNYCANDY,"Jawbreakers, e.g."
PENNYCANDY,"Old-fashioned sweets"
PENNYLAINE,"Director Marshall + 'Mule Train' singer"
PENNYMARSH,"Swamp for wishers?"
PENNYROYAL,"European mint"
PENNYSTOCK,"Candy store inventory, once?"
PENNYSTOCK,"Cheap Wall Street buy"
PENNYSTOCK,"Cheap per-share buy"
PENNYSTOCK,"Cheap, speculative investment choice"
PENNYSTOCK,"High-risk investment"
PENNYSTOCK,"Inexpensive investment option"
PENPALETTE,"Minor correspondent?"
PENSIONERS,"Retired employees"
PENSIONFUN,"Retirement?"
PENTAGONAL,"Five-sided"
PENTATEUCH,"Law of Moses"
PENTATHLON,"Summer Olympics contest that includes swimming, shooting and fencing"
PENTECOSTL,"Of a religious festival"
PENTHOUSES,"Places to live the high life?"
PENTIMENTO,"""Julia"" is based on this Lillian Hellman play"
PENTIMENTO,"In art, an underlying image that's been painted over"
PEONTOPEON,"Like calls between drudges?"
PEOPLEGOTA,"Neko Case: ""___ Lotta Nerve"""
PEOPLEQUIT,"Part 2 of quote"
PEOPLERULE,"Arkansas's motto with ""The"""
PEOPLEWILL,"Cheap quip, Part 3"
PEOPLEWILL,"Part 3 of quip"
PEPELEMOKO,"1937 Jean Gabin title role"
PEPELEMOKO,"Casbah fugitive of French film"
PEPEPERKUP,"""Get happy, Mr. Le Pew!"""
PEPPERCORN,"Mill morsel"
PEPPERCORN,"Steak au poivre flavoring"
PEPPERDINE,"L.A. college"
PEPPERDINE,"Malibu university"
PEPPERDINE,"University in Malibu"
PEPPERGAME,"Baseball warm-up"
PEPPERGAME,"Infielder's warm-up exercise"
PEPPERJOCK,"Prank where you pour seasoning over the captain of the football team?"
PEPPERMILK,"Spicy dairy product?"
PEPPERMILL,"Grinder"
PEPPERMILL,"Kitchen grinder"
PEPPERMINT,"Candy type"
PEPPERMINT,"Patty of ""Peanuts"""
PEPPERMINT,"Smooth sweet treat"
PEPPERPOTS,"Spicy stews"
PEPPERTALK,"Lecture to a vegetable gardening class?"
PEPPERTREE,"*Ornamental evergreen"
PEPPERTREE,"Cashew relative that sounds a little spicy"
PEPPERTREE,"Ornamental evergreen"
PEPPYPUPPY,"Lively littermate?"
PEPPYPUPPY,"Lively new pet"
PEPRALLIES,"Pregame meetings"
PEPRALLIES,"Rah-rah meetings"
PEPSIARENA,"Albany sports venue"
PERCENTRUM,"For each vitamin supplement?"
PERCHSWING,"Fish's courting place?"
PERCHSWING,"Park fixture for a fish?"
PERCOLATED,"Brewed by a torero?"
PERCOLATES,"Filters"
PERCOLATOR,"Coffeepot"
PERCUSSION,"Anagram of SUPERSONIC"
PERCUSSION,"Orchestra section"
PERCYFAITH,"""Theme From A Summer Place"""
PEREAMOURS,"French father's affairs?"
PEREGORIOT,"Balzac character"
PEREGORIOT,"Balzac hero"
PERELANDRA,"Space novel by Mr. L"
PERFECTERS,"Providers of finishing touches"
PERFECTGPA,"Student's dream"
PERFECTSPY,"Le Carre best seller, with ""A"""
PERFMANCES,"Acts"
PERHAPSODY,"""Maybe"" music?"
PERIGILPIN,"Co-star on 41A"
PERIGILPIN,"She played Roz Doyle on ""Frasier"""
