AAAMILNE,"Children's author and roadside helper?"
OPTIMISM,"Great expectations"
OPTIMISM,"Inclination to see the glass half full"
OPTIMISM,"Looking on the bright side of life"
OPTIMISM,"The search for the silver lining"
OPTIMISM,"What cynics lack"
OPTIMIST,"""A guy that has never had much experience"": Don Marquis"
OPTIMIST,"(n.) lens spray"
OPTIMIST,"Boat that many learn to sail in"
OPTIMIST,"Hopeful soul"
OPTIMIST,"One perpetually full of hope"
OPTIMIST,"One with a positive outlook"
OPTIMIST,"Prisoner of hope"
OPTIMIST,"Sunny side seer"
OPTIMIST,"Voltaire's Dr. Pangloss, e.g."
OPTIMIST,"Wearer of rose-colored glasses"
OPTIMIZE,"Get the maximum use from"
OPTIMIZE,"Make the best of"
OPTIMUMS,"Ideals"
OPTINGIN,"Feeding the kitty, say"
OPTINGIN,"Joining"
OPTIONAL,"Left to choice"
OPTIONAL,"Like some new car features"
OPTIONAL,"Not automatically required"
OPTIONAL,"Not compulsory"
OPTIONAL,"Not mandatory"
OPTIONAL,"Not necessary"
OPTIONAL,"Not required"
OPTIONAL,"Unrequired"
OPTIONED,"Acquired for film adaptation"
OPTIONED,"Acquired the film rights to"
OPTIONED,"Bought the film rights to"
OPTIONED,"Secured the rights to"
OPTIONEE,"Person with a stock privilege"
OPTOUTOF,"Choose not to"
OPULENCE,"A billionaire might live in it"
OPULENCE,"Conspicuous wealth"
OPULENCE,"Evident wealth"
OPULENCE,"Lavish living"
OPULENCE,"Luxurious living"
OPULENCE,"Plenty"
OPULENCE,"Riches"
OPULENCE,"Richness"
OPULENCE,"Wealth"
OPULENCY,"Wealth"
ORACULAR,"Delphic"
ORACULAR,"Divinely inspired"
ORACULAR,"Prophetic"
ORACULAR,"Solemnly prophetic"
ORALCARE,"Brushing and flossing"
ORALEXAM,"Degree hurdle"
ORALEXAM,"Degree requirement, perhaps"
ORALEXAM,"Dental routine"
ORALEXAM,"Dentist's procedure"
ORALEXAM,"Doctorate prerequisite, often"
ORALEXAM,"Face-to-face test"
ORALEXAM,"Grad school administration"
ORALEXAM,"Grilling procedure"
ORALEXAM,"Hurdle for a doctoral student"
ORALEXAM,"Hurdle for a future Ph.D."
ORALEXAM,"Part of a third degree, maybe"
ORALEXAM,"Pencilless test"
ORALEXAM,"Ph.D. candidate's hurdle"
ORALEXAM,"Ph.D. prerequisite, sometimes"
ORALEXAM,"Reason to open wide"
ORALEXAM,"Spoken test"
ORALEXAM,"Talking test"
ORALEXAM,"Verbal test: 2 wds."
ORALEXMS,"Hurdles for grad students"
ORALTEST,"Face-to-face exam"
ORALTEST,"Non-written exam"
ORALTEST,"Verbal exam"
ORANGERY,"Citrus garden"
ORANGERY,"Citrus shelter"
ORANGERY,"Navel-growing grove"
ORANGERY,"Type of greenhouse"
ORANGESS,"Syracuse's varsity big shots"
ORANGINA,"Drink in pear-shaped bottles"
ORANGINA,"Popular citrus drink"
ORANGISH,"Gingers' hair"
ORANGISH,"Like ocher"
ORATIONS,"Ciceronian products"
ORATIONS,"Graduation deliveries"
ORATIONS,"They're given at graduations"
ORATORIO,"""Elijah"" is one"
ORATORIO,"""Elijah"" or ""The Creation"""
ORATORIO,"""Hercules"" or ""Samson"""
ORATORIO,"""Judas Maccabaeus,"" for one"
ORATORIO,"""Messiah,"" e.g."
ORATORIO,"""Messiah,"" for one"
ORATORIO,"""Messiah,"" notably"
ORATORIO,"""The Messiah"", for one"
ORATORIO,"""The Seasons,"" for example"
ORATORIO,"'Messiah,' for one"
ORATORIO,"'The Messiah for one,'"
ORATORIO,"'The Messiah,' for one"
ORATORIO,"Bach piece"
ORATORIO,"Choir piece"
ORATORIO,"Choral piece"
ORATORIO,"Choral work"
ORATORIO,"Church piece"
ORATORIO,"Collection of some Handel bars"
ORATORIO,"Dramatic musical composition"
ORATORIO,"Dramatic musical performance"
ORATORIO,"Form similar to opera"
ORATORIO,"Handel bars"
ORATORIO,"Handel bars?"
ORATORIO,"Handel composition"
ORATORIO,"Handel forte"
ORATORIO,"Handel piece"
ORATORIO,"Handel specialty"
ORATORIO,"Handel work"
ORATORIO,"Handel's ""Israel in Egpyt,"" for one"
ORATORIO,"Handel's ""La Resurrezione,"" for one"
ORATORIO,"Handel's ""Messiah,"" e.g."
ORATORIO,"Handel's ""Messiah,"" for example"
ORATORIO,"Handel's ""Messiah,"" for one"
ORATORIO,"Handel's ""Messiah,"" notably"
ORATORIO,"Handel's ""Samson"" or ""Saul"""
ORATORIO,"Handel's ""Saul,"" for one"
ORATORIO,"Handel's ""The Messiah,"" for one"
ORATORIO,"Handel's 'Messiah,' e.g."
ORATORIO,"Handel's Messiah, e.g."
ORATORIO,"Haydn's ""The Creation,"" e.g."
ORATORIO,"Haydn's ""The Creation,"" for one"
ORATORIO,"Haydn's ""The Seasons,"" e.g."
ORATORIO,"Haydn's ""The Seasons,"" for one"
ORATORIO,"Lengthy choral work"
ORATORIO,"Lengthy sung opus"
ORATORIO,"Mendelssohn's ""Elijah,"" e.g."
ORATORIO,"Music based on the Bible"
ORATORIO,"Musical work"
ORATORIO,"One of several Handel works"
ORATORIO,"Opus with singing"
ORATORIO,"Religious choral work"
ORATORIO,"Sacred musical composition"
ORATORIO,"Sacred story set to music"
ORATORIO,"Scarlatti work"
ORATORIO,"Some Handel bars"
ORBITALS,"Electrons, in wave functions"
ORBITALS,"Some electrons"
ORBITERS,"Satellites"
ORBITERS,"Satellites, e.g."
ORBITGUM,"Product formerly with the ""fabulous"" spokesperson Vanessa Branch"
ORBITING,"Circling the moon"
ORBITING,"Going around the world"
ORCHARDS,"Apple groves"
ORCHARDS,"Cider mill suppliers"
ORCHARDS,"Picking places"
ORCHARDS,"Places for pickers"
ORCHARDS,"Places to pick"
ORCHARDS,"Some California businesses"
ORDAINED,"Admitted to the clergy"
ORDAINED,"Consecrated"
ORDAINED,"Decreed"
ORDAINED,"Established by decree"
ORDAINED,"Established by law"
ORDAINED,"Invested with authoriy"
ORDAINED,"Like clergymen"
ORDAINED,"Like most ministers"
ORDAINED,"Like priests"
ORDAINER,"Authoritative one"
ORDAINER,"I dare Ron to be commander"
ORDAINER,"One who confers holy orders on"
ORDERERS,"Catalog customers or restaurant visitors"
ORDERERS,"Diner patrons"
ORDERERS,"Diners, at times"
ORDERERS,"Fast-food customers"
ORDERERS,"Folks choosing from menus"
ORDERERS,"Some store officials"
ORDERING,"Acting bossy"
ORDERING,"Arranging methodically"
ORDERING,"Bossing"
ORDERING,"Requesting a meal"
ORDERING,"Restaurant activity"
ORDERNOW,"""Call right away!"""
ORDERNOW,"""Supplies are limited!"""
ORDEROUT,"*Get Chinese, say"
ORDEROUT,"Do it to eat in"
ORDEROUT,"Eschew cooking at home"
ORDEROUT,"Get pizza, frequently"
ORDEROUT,"Get something to go"
ORDEROUT,"Get to go... or make go"
ORDEROUT,"Have food delivered"
ORDEROUT,"Have pizza delivered, say"
ORDEROUT,"Not have a home-cooked meal, maybe"
ORDERSIN,"Calls room service"
ORDERSIN,"Gets lunch for the meeting, say"
ORDERSIN,"Has food delivered"
ORDINALS,"First and second"
ORDINALS,"First, second and third"
ORDINALS,"First, second, and fourth"
ORDINALS,"First, second, and third, e.g."
ORDINALS,"Some numbers"
ORDINALS,"You can count on them"
ORDINAND,"Man of the cloth"
ORDINARY,"Colonial tavern"
ORDINARY,"Commonplace"
ORDINARY,"Duran Duran's ""___ World"""
ORDINARY,"Everyday"
ORDINARY,"Not so special"
ORDINARY,"Not worthy of comment"
ORDINARY,"Prosaic"
ORDINARY,"Run-of-the-mill"
ORDINARY,"Stock"
ORDINARY,"___ people"
ORDINATE,"Abscissa's counterpart"
ORDINATE,"In neat rows"
ORDINATE,"It helps pinpoint a point"
ORDINATE,"It's measured along the y-axis"
ORDNANCE,"Cannons and ammo, e.g."
ORDNANCE,"Guns and ammunition"
ORDNANCE,"Military materiel"
ORDNANCE,"Military stockpile"
ORDNANCE,"Military weapons"
ORDNANCE,"Shells, but not ziti"
ORDNANCE,"Weaponry"
ORDNANCE,"Weapons, ammunition, and so on"
OREASSAY,"Evaluation in Eugene?"
ORECLOSE,"Consequence of a default, sometimes"
OREGANOS,"Italian herbs"
OREGANOS,"Mint-family members"
OREGANOS,"Some Italian herbs"
OREGANOS,"Spaghetti sauce herbs"
OREGGANO,"Seasoning for spegghetti"
ORELOSER,"Shaky mining stock?"
OREMINER,"Iron man?"
OREMINER,"Someone who can really dig it?"
OREMUTAH,"""Family City USA"""
OREMUTAH,"It lies west of the Provo River"
OREMUTAH,"It's SSE of Salt Lake City"
OREMUTAH,"It's adjacent to Provo"
OREMUTAH,"It's near Provo"
OREMUTAH,"Town with a Brigham Young University branch"
ORESTEAN,"Like a classic Greek trilogy"
ORESTEIA,"Aeschylus masterwork"
ORESTEIA,"Aeschylus opus"
ORESTEIA,"Aeschylus trilogy"
ORESTEIA,"Aeschylus work"
ORESTEIA,"Trilogy that includes ""Agamemnon"""
ORGANDIE,"Curtain fabric: Var."
ORGANICS,"Animal and vegetable matter"
ORGANICS,"Many trendy health food items"
ORGANISM,"Life form"
ORGANISM,"Living being that arms go in"
ORGANISM,"Living thing"
ORGANIST,"Bach prelude player"
ORGANIST,"Bach, for one"
ORGANIST,"Ballpark figure"
ORGANIST,"Ballpark player"
ORGANIST,"Cathedral musician"
ORGANIST,"Church musician"
ORGANIST,"J.S. Bach, e.g."
ORGANIST,"Musician in a loft"
ORGANIST,"One may play at a ballpark"
ORGANIST,"One playing in church"
ORGANIST,"Pedal pusher?"
ORGANIST,"Stroker of the keys?"
ORGANIZE,"Form a union"
ORGANIZE,"Form a union, e.g."
ORGANIZE,"Set straight"
ORGASMIC,"Walking on air"
ORIENTAL,"$100 Monopoly avenue"
ORIENTAL,"Avenue adjacent to Reading Railroad"
ORIENTAL,"Avenue in Monopoly"
ORIENTAL,"Avenue next to Reading Railroad, in Monopoly"
ORIENTAL,"Avenue six away from Go"
ORIENTAL,"Companion of Connecticut and Vermont"
ORIENTAL,"Eastern"
ORIENTAL,"Eastern, in a way"
ORIENTAL,"Expensive rug"
ORIENTAL,"Floor decoration"
ORIENTAL,"Foreign ""relation""?"
ORIENTAL,"From the East"
ORIENTAL,"From the Far East"
ORIENTAL,"Kind of rug"
ORIENTAL,"Light blue avenue in Monopoly"
ORIENTAL,"Like Charlie Chan"
ORIENTAL,"Like Dr. Fu Manchu"
ORIENTAL,"Like Kashmir rugs"
ORIENTAL,"Like some fine pottery"
ORIENTAL,"Like some old film sleuths"
ORIENTAL,"Like some rugs"
ORIENTAL,"Like the Mikado and Nanki-Poo"
ORIENTAL,"Monopoly avenue"
ORIENTAL,"Monopoly avenue in the light-blue group"
ORIENTAL,"Monopoly avenue next to Chance"
ORIENTAL,"Monopoly property ___ Avenue"
ORIENTAL,"Of the East"
ORIENTAL,"Rug choice"
ORIENTAL,"Rug type"
ORIENTAL,"Type of rug"
ORIENTAL,"Type of rug in some plush reading rooms"
ORIENTAL,"___ shorthair (cat breed)"
ORIENTED,"Employed a compass"
ORIENTED,"Fixed"
ORIENTED,"Got one's bearings"
ORIENTED,"Got pointed in the right directions, so to speak"
ORIENTED,"Got situated"
ORIENTED,"Set right"
ORIENTED,"Spatially adjusted"
ORIENTED,"Word after family or detail"
ORIENTED,"Word after family or object"
ORIENTED,"Word with career or goal"
ORIFICES,"Ear, nose, and throat"
ORIFICES,"Nostrils, e.g."
ORIFICES,"Where germs usually enter"
ORIGAMIS,"Japanese paper figures"
ORIGINAL,"""___ Sin"" (Meat Loaf tune)"
ORIGINAL,"Copy source"
ORIGINAL,"Distinctive"
ORIGINAL,"Earliest"
ORIGINAL,"First"
ORIGINAL,"Fresh"
ORIGINAL,"Fresh and unusual"
ORIGINAL,"Genuine article"
ORIGINAL,"Ground-breaking"
ORIGINAL,"Groundbreaking"
ORIGINAL,"Imaginative"
ORIGINAL,"Innovative"
ORIGINAL,"Inspiring copies"
ORIGINAL,"Inventive"
ORIGINAL,"KFC option"
ORIGINAL,"Master"
ORIGINAL,"Master copy"
ORIGINAL,"Not a fake"
ORIGINAL,"Not imitative"
ORIGINAL,"Novel"
ORIGINAL,"One of a kind"
ORIGINAL,"Request at KFC"
ORIGINAL,"Request at KFC, perhaps"
ORIGINAL,"Something that gets copied"
ORIGINAL,"Trend-setting"
ORIGINAL,"Type of sin"
ORIGINAL,"Unchanged or novel"
ORINASAL,"Vowel sound, for a good French accent"
ORISTANO,"Italian town or gulf"
ORNAMENT,"Angel, perhaps"
ORNAMENT,"Beautify"
ORNAMENT,"Bulb, e.g."
ORNAMENT,"Christmas ball, e.g."
ORNAMENT,"Christmas bulb, e.g."
ORNAMENT,"Christmas buy"
ORNAMENT,"Christmas decoration"
ORNAMENT,"Christmas tree decoration"
ORNAMENT,"Christmas tree item"
ORNAMENT,"December dangler"
ORNAMENT,"December decoration"
ORNAMENT,"Decoration"
ORNAMENT,"Doodad"
ORNAMENT,"Embellish"
ORNAMENT,"Embellishment"
ORNAMENT,"Frill"
ORNAMENT,"Gargoyle, e.g."
ORNAMENT,"Hood ___, e.g. Mack truck's bulldog"
ORNAMENT,"Hood attachment"
ORNAMENT,"It serves no useful purpose"
ORNAMENT,"Nose ring, e.g."
ORNAMENT,"Trim"
ORNAMENT,"Yule decoration"
ORNATELY,"Floridly"
ORNATELY,"In a fancied-up style"
ORNATELY,"In a florid way"
ORNATELY,"In a rococo fashion"
ORNATELY,"In an elaborate manner"
ORNATELY,"In baroque style"
ORNATELY,"Showily"
ORNERIER,"More cantankerous"
ORNITHIC,"Avian"
OROGENIC,"Of mountain formation"
ORPHANED,"Lacking a sponsor"
ORPHANED,"Left alone"
ORPHANED,"Left parentless"
ORPHANED,"Like Harry Potter and Bruce Wayne"
ORPHANED,"No longer sponsored"
ORRERIES,"Astronomers' apparatuses"
ORRERIES,"Moving models of the sun and planets"
ORRERIES,"Planetariums"
ORRERIES,"Planetary models"
ORRERIES,"Solar system models"
ORRISOIL,"Perfume ingredient"
ORTHODOX,"Conventional"
ORTHODOX,"Generally approved"
ORTHODOX,"Greek ___ Church"
ORTHODOX,"Like Sunni Muslims"
ORTHODOX,"Like some Jews"
ORTHODOX,"Like strictly religious Jews"
ORTHODOX,"Not at all avant-garde"
ORTHODOX,"Strait-laced"
ORTHODOX,"Traditional"
ORTHODOX,"Ultraconservative"
ORTHOEPY,"Study of pronunciation"
ORTOLANS,"Bobolinks"
ORTOLANS,"Old World buntings"
ORVILLES,"Wright and Moody"
OSAKABAY,"Inland Sea arm"
OSBOURNE,"Black Sabbath vocalist"
OSBOURNE,"Former Black Sabbath lead singer Ozzy"
OSBOURNE,"Ozzy of Black Sabbath"
OSBOURNE,"Rocker Ozzy"
OSBOURNE,"Rocker with the 1981 triple-platinum album ""Diary of a Madman"""
OSBOURNE,"Slurring rocker Ozzy"
OSBOURNE,"TV family member whose words are often bleeped"
OSBOURNE,"TV family surname"
OSCAAYER,"Food company whose name is spelled out in its advertising jingle"
OSCARNOD,"Academy Award nomination"
OSCARNOD,"February nomination"
OSCARNOD,"Honor for a really good doc"
OSCARNOD,"Nomination, familiarly"
OSCARNOD,"Recognition from the Academy, as it were"
OSCARNOD,"Short honor?"
OSCULATE,"Kiss"
OSCULATE,"Make out, kind of"
OSCULATE,"Rejected candy heart phrase"
OSCULATE,"Touch lips"
OSLOBUCO,"Dish that always gets the same reaction — ""Hey, this meat is cold""? (one-letter change)"
OSLOBUCO,"Dish that gets the same reaction every time—""Hey, this meat is cold""? (one-letter change)"
OSLOSOLO,"Aria in Norway?"
OSLOSOLO,"Capital aria?"
OSLOSOLO,"Scandinavian aria?"
OSLOSOLO,"Song of Norway?"
OSMOSING,"Diffusing by absorption"
OSMOSING,"Passing through a membrane"
OSOBERRY,"Western shrub, or a synonym for ""extremely""?"
OSOLEMIO,"1899 Eduardo di Capua melody"
OSOLEMIO,"19th-Century Italian song"
OSOLEMIO,"Alter-ego of ""It's Now or Never"""
OSOLEMIO,"Basis of Tony Martin's ""There's No Tomorrow"""
OSOLEMIO,"Beloved Italian encore"
OSOLEMIO,"Beloved Italian song"
OSOLEMIO,"Caruso standard"
OSOLEMIO,"Classic Italian song"
OSOLEMIO,"Common Italian encore"
OSOLEMIO,"Italian classic"
OSOLEMIO,"Mario Lanza favorite"
OSOLEMIO,"Mario Lanza often sang it"
OSOLEMIO,"Neapolitan song"
OSOLEMIO,"Pavarotti classic"
OSOLEMIO,"Pavarotti encore"
OSOLEMIO,"Pavarotti encore, perhaps"
OSOLEMIO,"Pavarotti standard"
OSOLEMIO,"Popular tune for a tenor"
OSOLEMIO,"Popular tune for tenor or accordion"
OSOLEMIO,"Song for which Pavarotti won a 1980 Grammy"
OSOLEMIO,"Song that Elvis's ""It's Now or Never"" was based on"
OSOLEMIO,"Song that provided the melody for Elvis's ""It's Now or Never"""
OSOLEMIO,"Song that was the basis for Elvis Presley's ""It's Now or Never"""
OSOLEMIO,"Source for the tune of ""It's Now or Never"""
OSOLEMIO,"Tenor war horse"
OSOLEMIO,"Tenor warhorse"
OSOLEMIO,"The Three Tenors standard"
OSOLEMIO,"The Tony Martin hit ""There's No Tomorrow"" is based on its melody"
OSOLEMIO,"Tune for The Three Tenors"
OSOLEMIO,"Well-known Italian tune"
OSSICLES,"Small bones"
OSSIFIED,"Changed into bone"
OSSIFIES,"Changes into bone"
OSSIFIES,"Converts to bone"
OSSIFIES,"Hardens into bone"
OSSIFIES,"Hardens, as bones"
OSSINING,"Sing Sing site"
OSSOBUCO,"Italian veal dish"
OSSOBUCO,"Milanese veal dish"
OSSOBUCO,"Trattoria offering"
OSSOBUCO,"Trattoria order"
OSSOBUCO,"Veal dish"
OSSOBUCO,"Veal shank dish in un ristorante"
OSSOBUCO,"You can get this at Felidia, 243 E. 58th St."
OSTEITIS,"Bone inflammation"
OSTINATO,"Constantly recurring melodic fragment"
OSTINATO,"Constantly repeated pattern"
OSTINATO,"Recurring melodic fragment"
OSTINATO,"Recurring melodic phrase"
OSTINATO,"Repeated musical phrase"
OSTIOLAR,"Porelike"
OTAHEITE,"Tahiti's former name"
OTALGIAS,"Earaches"
OTHEGIRL,"Sebastian song in a 1989 Disney film"
OTHERMAN,"Part of a lovers' triangle"
OTHERMAP,"*Alternative way to get directions?"
OTHERONE,"Not this thing (with ""the"")"
OTHERONE,"Not this twin (with ""the"")"
OTHERWAY,"Look the ___ (ignore)"
OTIOSELY,"In an idle way"
OTIOSITY,"Sloth"
OTOSCOPE,"Canal examiner's aid"
OTOSCOPE,"Ear doctor's device"
OTOSCOPE,"Ear examination instrument"
OTOSCOPE,"Native Americans deal with ENT's medical instrument (8)"
OTOSCOPE,"Tympanum examiner"
OTTERMAT,"Riverside diner?"
OTTERPOP,"Frozen treat made by the Jel-Sert Company"
OTTERPOP,"Sweet frozen treat"
OTTOHAHN,"A discoverer of nuclear fission"
OTTOMANS,"Big footstools"
OTTOMANS,"Foot props"
OTTOMANS,"Footrests"
OTTOMANS,"Footstools that often match chairs"
OTTOMANS,"Middle Easterners named for their first sultan"
OTTOMANS,"Parlor pieces"
OTTOMANS,"Turks turned to Aunt Polly's nephew with answer (8)"
OTTORINO,"Composer Respighi"
OULACHAN,"Smeltlike fish of the northwest."
OURBSIDE,"The song you and I put on the back of the single"
OUTABOUT,"Part 4 of quip"
OUTACTED,"Won a stage award, in a sense"
OUTAHEAD,"Leading in a race"
OUTARGUE,"Beat in a debate"
OUTARGUE,"Prove better at debating"
OUTARGUE,"Win a debate"
OUTARGUE,"Win the debate with"
OUTATIME,"What it says on the Delorean's license plate in Back to the Future"
OUTBLUFF,"Defeat at poker, perhaps"
OUTBLUFF,"One-up at the poker table, maybe"
OUTBOARD,"Kind of motor"
OUTBOARD,"Motor type"
OUTBOUND,"Away from the city, say"
OUTBOXES,"Temporary storage for completed work"
OUTBRAVE,"Best in courage"
OUTBREAK,"Epidemic"
OUTBREAK,"Epidemic, e.g."
OUTBREAK,"Rash brute jumping in tree (8)"
OUTBREAK,"Start of disease caused by oak tuber"
OUTBREAK,"Sudden occurrence, as of a widespread illness"
OUTBREED,"Dominate demographically"
OUTBURST,"Cause for a reprimand from a teacher"
OUTBURST,"Courtroom interruption"
OUTBURST,"Eruption"
OUTBURST,"Flare-up"
OUTBURST,"Flareup"
OUTCASTE,"Banished Hindu"
OUTCASTS,"Ishmael and others"
OUTCASTS,"Pariahs"
OUTCASTS,"Shunned ones"
OUTCLASS,"Be far better than"
OUTCLASS,"Be the better man or woman"
OUTCLASS,"Blow away in competition"
OUTCLASS,"Completely surpass"
OUTCLASS,"Make look amateurish"
OUTCOACH,"Show sideline superiority"
OUTCOMES,"Consequences"
OUTCOMES,"End results"
OUTCOMES,"Results"
OUTCRIES,"Expressions of protest"
OUTCROPS,"Protruding rock formations"
OUTDANCE,"Win a marathon contest, perhaps"
OUTDATED,"Like buggy whips"
OUTDATED,"Like eight-track tapes"
OUTDATED,"Like eight-tracks"
OUTDATED,"No longer in"
OUTDATED,"Not in vogue"
OUTDATED,"Old hat"
OUTDATED,"Passe"
OUTDATED,"Passé"
OUTDATES,"Makes obsolete"
OUTDODGE,"Surpass at evading"
OUTDOORS,"Alfresco"
OUTDOORS,"Campers' milieu"
OUTDOORS,"Great area?"
OUTDRAWS,"Beats in a duel"
OUTDRAWS,"Bests, say, in a duel"
OUTDRAWS,"Wins a gunfight"
OUTEATEN,"Shown up at a restaurant?"
OUTEREAR,"A canal forms part of it"
OUTEREAR,"Audio input location"
OUTEREAR,"Auricle and canal extending to the tympanic membrane"
OUTEREAR,"Auricle spot"
OUTEREAR,"Canal locale"
OUTEREAR,"Catcher of sound waves"
OUTEREAR,"It contains the auricle"
OUTEREAR,"It's cleaned with a Q-Tip"
OUTEREAR,"Natural wave catcher"
OUTEREAR,"One end of a canal"
OUTEREAR,"Pinna's place"
OUTEREAR,"Q-tip's target"
OUTFIELD,"Angels' place?"
OUTFIELD,"Fly ball's destination"
OUTFIELD,"Play better defense than?"
OUTFIELD,"RFK area"
OUTFIELD,"Willie Mays played there"
OUTFLANK,"It'll hold water"
OUTFLANK,"Maneuver around, in war"
OUTFOXES,"Gets the better of"
OUTFOXES,"Is craftier than"
OUTFOXES,"Surpasses in slyness"
OUTFRONT,"In the lead"
OUTFRONT,"Leading"
OUTGOING,"Extroverted"
OUTGROWN,"Gotten too big for"
OUTGROWS,"Needs new duds"
OUTGUESS,"Anticipate the actions of"
OUTGUESS,"Predict the actions of"
OUTHOUSE,"Indoor plumbing alternative"
OUTHOUSE,"Rustic place to go?"
OUTHUNTS,"Bags more game than"
OUTLANDS,"Remote areas"
OUTLASTS,"Has more stamina than"
OUTLASTS,"Keeps on longer than"
OUTLASTS,"Survives"
OUTLAWED,"Banned"
OUTLAWED,"Prohibited"
OUTLAWRY,"Billy the Kid's deeds"
OUTLAWRY,"Criminal activity"
OUTLEAPS,"Jumps higher than"
OUTLIERS,"People living away from their place of work"
OUTLIFTS,"Wins the strongman contest"
OUTLINED,"Sketched"
OUTLINED,"Sketched the main features of"
OUTLINED,"Summarized"
OUTLINES,"Plans"
OUTLIVED,"Lasted longer"
OUTLIVES,"Exists longer than"
OUTLIVES,"Is around longer than"
OUTLIVES,"Makes it longer than"
OUTLIVES,"Stays around longer than"
OUTLOOKS,"They lie ahead"
OUTLYING,"Like remote suburbs"
OUTLYING,"Remote"
OUTLYING,"Suburban"
OUTLYING,"Surrounding, as suburban areas"
OUTMARCH,"Walk farther than, in a procession"
OUTMODED,"No longer in style"
OUTMODED,"Obsolete"
OUTMONEY,"On losing end financially"
OUTOFGAS,"Empty"
OUTOFGAS,"Exhausted"
OUTOFGAS,"On empty"
OUTOFGAS,"Running on empty"
OUTOFGAS,"Tired, slangily"
OUTOFUSE,"Defunct"
OUTOFUSE,"Obsolete"
OUTPACED,"Overtook on the race track, e.g."
OUTPACES,"Surpasses"
OUTPEDAL,"Beat at biking"
OUTPITCH,"Excel on the mound"
OUTPITCH,"Surpass Nolan Ryan"
OUTPLAYS,"Does better in competition"
OUTPLAYS,"Performs better than, on the field"
OUTPLAYS,"Shuts down offensively and defensively"
OUTPLAYS,"Succeeds at 1/3 of a ""Survivor"" dictum"
OUTPOSTS,"Frontier bases"
OUTPOSTS,"Frontier settlements"
OUTPOSTS,"Remote bases"
OUTPOSTS,"Remote stations"
OUTRACED,"Beat in a relay, e.g."
OUTRACED,"Our cadet won the marathon"
OUTRACED,"Went faster than"
OUTRACES,"Beats to the tape"
OUTRACES,"Stays ahead of"
OUTRAGED,"Extremely offended"
OUTRAGED,"Furious"
OUTRAGED,"Shocked"
OUTRAGES,"Causes great resentment"
OUTRAGES,"Infuriating behaviors"
OUTRAGES,"Makes furious"
OUTRAGES,"Tabloid fodder"
OUTRANGE,"Go farther than"
OUTRANKS,"Comes first"
OUTRANKS,"Is above"
OUTRANKS,"Is superior to"
OUTRANKS,"Surpasses in stripes"
OUTREACH,"Community ___"
OUTREACH,"Community program"
OUTREACH,"Community service program"
OUTREACH,"Community worker's effort"
OUTREACH,"Feature of community work"
OUTREACH,"Public relations effort"
OUTRIDER,"Attendant on horseback"
OUTRIDER,"Escort for a vehicle"
OUTRIDER,"Vanguard member"
OUTSCORE,"Beat in competition"
OUTSCORE,"Best, as an opponent"
OUTSCORE,"Best, in a way"
OUTSCORE,"Come home more often than?"
OUTSCORE,"Get more points"
OUTSCORE,"Make more points than"
OUTSELLS,"Bests in the market"
OUTSELLS,"Brings in more revenue than"
OUTSELLS,"Is more successful, product-wise"
OUTSELLS,"Moves better than"
OUTSELLS,"Surpasses in receipts"
OUTSELLS,"Surpasses other vendors"
OUTSETOF,"From the ___ (right off the bat)"
OUTSHINE,"Eclipse"
OUTSHINE,"Excel"
OUTSHINE,"Perform better than"
OUTSHINE,"Surpass"
OUTSHINE,"Upstage"
OUTSHONE,"Did better than"
OUTSHONE,"Surpassed"
OUTSHONE,"Topped"
OUTSHONE,"Upstaged"
OUTSHOUT,"Prove louder than"
OUTSIDER,"Alien"
OUTSIDER,"In-crowd wannabe"
OUTSIDER,"New kid in town"
OUTSIDER,"New kid on the block, say"
OUTSIDER,"Nonmember"
OUTSIDER,"Not one of the gang"
OUTSIDER,"One not in the loop"
OUTSIDER,"Peregrine"
OUTSIDES,"Exteriors"
OUTSIZED,"Larger than normal for its kind"
OUTSIZED,"Uncommonly big"
OUTSIZED,"Uncommonly large"
OUTSMART,"Defeat with cunning"
OUTSMART,"Do a better coaching job"
OUTSMART,"Fool"
OUTSMART,"Get the better of"
OUTSMART,"Hornswoggle"
OUTSMART,"One-up"
OUTSMART,"One-up, in a way"
OUTSOLES,"Shoe parts"
OUTSPEED,"Beat to the wire"
OUTSPELL,"Win a bee?"
OUTSPENT,"Laid out more money than"
OUTSPENT,"Surpassed in extravagance"
OUTSTARE,"Blink later than, in a contest"
OUTSTARE,"Defeat in a don't-blink contest"
OUTSTARE,"Don't blink before?"
OUTSTARE,"Look longer?"
OUTSTARE,"Win a ""no blinking"" contest"
OUTSTAYS,"Exhibits more stamina"
OUTSTRIP,"Get far ahead of"
OUTSTRIP,"Get the better of"
OUTSTRIP,"Go far ahead of"
OUTSTRIP,"Surpass"
OUTTAKES,"Blooper-reel footage"
OUTTAKES,"Bloopers show offering"
OUTTALKS,"Shows verbal superiority"
OUTTHERE,"Bizarre"
OUTTHERE,"End of the quip"
OUTTHERE,"Kooky"
OUTTHERE,"Really bizarre"
OUTTHINK,"Stay one step ahead of"
OUTTOSEA,"'97 Lemmon/ Matthau cruise film"
OUTTOSEA,"1997 Jack Lemmon/Walter Matthau film"
OUTTOSEA,"1997 Lemmon/Matthau cruise film"
OUTTOSEA,"1997 Matthau/Lemmon film"
OUTTOSEA,"1997 film in which Lemmon and Matthau are dance hosts"
