AARONCOPLAND,"""A Lincoln Portrait"" composer"
NANETTEWORTH,"The value of actress Fabray?"
NANOOKSECOND,"Northern time period?"
NAPLESPLANES,"Italian jet set?"
NAPOLEONDUET,"Four-handed piano piece by a French emperor?"
NAPOLEONSOLO,"Man from U.N.C.L.E."
NAPOLEONSOLO,"The man from U.N.C.L.E."
NARROWESCAPE,"Close call"
NARROWMARGIN,"1990 Hackman thriller"
NARROWMARGIN,"Anne Archer is pursued on a train to Canada in this film"
NARROWMARGIN,"Horse's nose, say"
NARROWMARGIN,"What some win by"
NASSAUAUGUST,"Bahamas summer time?"
NASSAUSAUNAS,"Bahama baths?"
NASSAUSAUNAS,"Capital steam rooms?"
NASSAUSAUNAS,"Features of some Bahamas spas"
NASSAUSAUNAS,"Hot spots in the Bahamas?"
NASSAUSAUNAS,"Places to find sweaters in the Bahamas?"
NASTYHABITAT,"Crummy place to live?"
NASTYPUDDING,"Foul-tasting dessert?"
NATCHEZTRACE,"Historic route between Tennessee and Mississippi"
NATETHESKATE,"Hoops nickname"
NATIONALBANK,"Bad place for a run"
NATIONALBANK,"Federal repository"
NATIONALDEBT,"Congressional bone of contention"
NATIONALDEBT,"Most agree it should be reduced"
NATIONALDEBT,"Something with a ceiling"
NATIONALPOST,"Canadian newspaper"
NATIONALROAD,"Historic route between Maryland and Illinois"
NATIVEDANCER,"Leading money winner: 1953"
NATIVESEASON,"Winter, in a summer resort town?"
NATIVETONGUE,"Indigenous language"
NATOALPHABET,"What this puzzle's paired theme words all belong to"
NATURALENEMY,"Biological control agent, for example"
NATURALGAITS,"Unaffected horse movements?"
NATURALGAMES,"Eco-sports?"
NATURALGLASS,"Wares at a ""green"" window store?"
NATURALGUESS,"Spontaneous supposition?"
NATURALMAGIC,"Wiccan's practice"
NATURALRIVER,"Canal counterpart?"
NATURALSTATE,"*Arkansas's nickname, with ""the"""
NATURELOVERS,"Fanciers of the great outdoors"
NATURELOVERS,"Fans of woods and wildlife"
NATURESWAYOF,"Definition of adolescence, part 1"
NAUTICALMILD,"Calm seas?"
NAUTICALMILE,"NM"
NAUTICALMILE,"New York city in mariner's measure"
NAUTICALMILE,"Oceanographer's measure"
NAVAHOHOGANS,"Southwestern structures?"
NAVAJORUGRAT,"Native American toddler?"
NAVALORANGES,"What the admiral brought to the potluck dinner?"
NAVALRESERVE,"1917 Sousa march or a military group"
NAVELORANGES,"Seedless citrus fruits"
NAVELORANGES,"What the belly dancer brought"
NAVEOFHEARTS,"Romantic area of the church?"
NAVYSEALSKIN,"Military fur?"
NAYNOTANTONY,"Cleo's reply to ""He's been cheating on you""?"
NBCUNIVERSAL,"Comcast holding"
NBORNCITIZEN,"Immigrant's opposite"
NDIMENSIONAL,"Describing a mathematical space (4th)"
NDRBRFDRBRSH,"Start of a quote from Proverbs"
NEARDISASTER,"Close call"
NEARMATISSES,"Knockoffs of ""Woman With a Hat""?"
NEATASAPINOT,"Nifty, to winetasters?"
NEATERREADER,"Library patron creating less clutter?"
NECESSITATED,"Called for"
NECKBRACELET,"Choker?"
NECKTIEPRINT,"Red, white, and blue pattern on silk?"
NEEDSSOMETLC,"""Help mend a broken heart"""
NEESONNEPHEW,"Actor Liam's younger kin?"
NEGATIVEVOTE,"""Nay"" is one"
NEIGHBORHOOD,"Locality"
NEILSDIAMOND,"Game site for a popular singer?"
NEILTHEYOUNG,"Minor singer/king"
NEIMANMARCUS,"Department store founded in 1907"
NEINTNAYTFOR,"A no vote in German + 1 letter + a no vote in English + 1 letter + in favor of = a famous novel"
NELLYFURTADO,"""I'm Like a Bird"" vocalist"
NELLYFURTADO,"Singer from Victoria, BC"
NEOCLASSICAL,"20th century music style"
NEOCLASSICAL,"Metal subgenre"
NEPTUNEBEACH,"Resort near Jacksonville, Fla."
NEROSWELCOME,"Reception from a Roman emperor?"
NERVECENTERS,"Where brain surgeons work?"
NERVOUSRAKES,"Angsty leaf-collectors?"
NESTINGDOLLS,"Souvenirs from Russia, and this puzzle's theme"
NESTLECRUNCH,"Chocolate bar with crisped rice"
NETFLIXQUEUE,"It has things you want to see"
NETFLIXQUEUE,"Movie lover's request list"
NETHERLANDER,"Delft denizen"
NETHERPROFIT,"Bottom bottom line?"
NETHERREGION,"Infernal place"
NEUROSCIENCE,"Pavlov and Alzheimer's thing, generally"
NEUROSURGEON,"Brain specialist"
NEUROSURGEON,"O.R. specialist"
NEUTRALCOLOR,"Beige, for one"
NEUTRALSHADE,"Bone, for one"
NEVECAMPBELL,"Canadian actress from Guelph, Ontario"
NEVEONSUNDAY,"A day in the life of actress Campbell?"
NEVERBENASTY,"Nice guy's motto?"
NEVERCRYWOLF,"1963 Farley Mowat title"
NEVERHASABOX,"Part 5 of observation"
NEVERIMPEDED,"Quip: Part 3"
NEVERINSTOCK,"Kevin Costner's anagrammatic lament about his videos"
NEVERMISTAKE,"Start of Sandra Carey quote"
NEVERPLAYCAT,"Start of Don Addis quip"
NEVERSETFOOT,"End of quote"
NEVERTESTTHE,"Advice from Ann Landers, part 1"
NEVERTESTTHE,"Start of practical advice"
NEVERTOOLATE,"1965 Jim Hutton movie"
NEWAMSTERDAM,"Settlement of 1624"
NEWBRUNSWICK,"Canadian province bordering Maine"
NEWBURNSWICK,"Candle capital of the world?"
NEWCALEDONIA,"Island east of Australia"
NEWCAROPTION,"Sunroof, perhaps"
NEWCHANGLAND,"Exact replica of six Northeastern states?"
NEWDIMENSION,"Different aspect"
NEWENGLANDER,"Bostonian, for one"
NEWFOUNDLAND,"*Labrador was added to its provincial name in 2001"
NEWFRONTIERS,"Kennedyesque conquests"
NEWHAMPSHIRE,"Holder of the first-in-the-nation presidential primary"
NEWHAMPSHIRE,"Its primary is primary"
NEWHAMPSHIRE,"Primary state"
NEWHAMPSHIRE,"See ""Live Free or Die"" license plates here (3,9)"
NEWLYWEDGAME,"Bob Eubanks' show (with ""The"")"
NEWLYWEDGAME,"One of its theme songs was ""Book of Love"" (with ""The"")"
NEWMANSCROWN,"What Paul wore as an honor?"
NEWOWNERSHIP,"Takeover result"
NEWSAGENCIES,"Some story collectors"
NEWSBULLETIN,"Prime-time interruption"
NEWSBULLETIN,"TV interruption"
NEWSCOVERAGE,"Insurance for the media?"
NEWSFORANOSE,"What ""The Schnozzola Gazette"" contains?"
NEWSFROMHOME,"Letters-to-the-troops content"
NEWTESTAMENT,"Gospel's bridal contribution?"
NEWTESTAMENT,"It begins with the Gospels"
NEWTESTAMENT,"Revelation site"
NEWTESTAMENT,"Where Epistles are found"
NEWTGINGRICH,"Former congressman whose surname really ends with a ""K"" sound"
NEWTGINGRICH,"He's an animal in political matters!"
NEWTONSAPPLE,"Scientific toppler"
NEWWAGEMUSIC,"Strike songs?"
NEWWIVESTALE,"Brides' recounting of their honeymoons?"
NEWYORKEMITS,"Comment on Big Apple pollution?"
NEWYORKGIANT,"Frank Gifford, once"
NEWYORKITEMS,"Newspaper about Hollywood couples?"
NEWYORKMEATS,"Broadway deli offerings?"
NEWYORKMEETS,"Name of a Manhattan singles bar?"
NEWYORKMELTS,"Baseball team that can't take the heat?"
NEWYORKMONET,"Manhattan's own Impressionist?"
NEWYORKTIMES,"City paper monkeys write randomly (3,4,5)"
NEWYORKTIMES,"Daily with a famous crossword"
NEWZEALANDER,"Wellington dweller"
NEXTTIMETYPE,"""I can't read your handwriting!"""
NHLMOCKDRAFT,"Avalanche forecast, perhaps?"
NHOURSTORAMA,"Jose Ferrer film: 1963"
NIAGARAFALLS,"Honeymoon mecca"
NIAGARAFALLS,"Honeymooners' destination"
NIAGARAFALLS,"Honeymooners' destination, often"
NIAGARAFALLS,"View from the Maid of the Mist"
NIAGARAFALLS,"Where to board the Maid of the Mist tour boat"
NICERINGTOIT,"End of the quote"
NICHEMARKETS,"Specialty retailers' domains"
NICKELODEONS,"Jukeboxes of old"
NICOLEKIDMAN,"""Australia"" star"
NICOLEKIDMAN,"""Moulin Rouge!"" star*"
NICOLEKIDMAN,"""The Hours"" Oscar winner"
NICOLEKIDMAN,"""To Die For"" star"
NIELSBORSCHT,"Soup popular among quantum physicists?"
NIGHTCLUBBER,"Hot spot regular"
NIGHTDRAWLER,"Texas announcer on the late shift?"
NIGHTINGALES,"Nocturnal singers"
NIGHTONEARTH,"1991 Jim Jarmusch movie about cab drivers"
NIGHTSWEATER,"Person having scary dreams?"
NIGHTTRIPPER,"1966 Beatles song about a clumsy sleepwalker?"
NINEAQUARTER,"When many people get to work"
NINEOTWOONEO,"TV zip"
NINERSANCTUM,"Private retreat for San Francisco NFLers?"
NINETOTHEBAR,"Alternative way to write music?"
NINEWONTHREE,"Subhead for ""Broadway Musical Cited at Awards Ceremony""?"
NINJATURTLES,"Comic book heroes introduced as action figures in 1988"
NINJAWARRIOR,"Japanese TV import involving obstacle courses"
NIPSINTHEBUD,"Squelches early"
NISSANXTERRA,"RAN SEX TRAINS"
NITROGENCOPY,"Proton-enhanced form of reproduction?"
NITROUSOXIDE,"Laughing gas"
NITTANYLIONS,"Penn State's football team"
NIXONRESIGNS,"Headline of #42,566 (Aug. 9, 1974)"
NIXONSTHEONE,"1968 party line"
NNCENTSTORES,"Bargain outlets"
NOBARFLYZONE,"Area banning pub regulars?"
NOCHEAPSKATE,"""I'm ___ when it comes to the environment, especially our lakes and oceans and ponds and rivers and oceans and lakes and rivers"""
NOENDINSIGHT,"""It'll never stop,"" and puzzle's title"
NOFREELAUNCH,"Picket sign for a Cape Canaveral technician?"
NOFUSSNOMUSS,"Easy to use, in adspeak"
NOFUSSNOMUSS,"Easy-to-use product tagline"
NOFUSSNOMUSS,"Without any bother"
NOGOODFELLAS,"Gangsters, in fact?"
NOHARMNOFOUL,"""Everything's OK"""
NOHARMNOFOUL,"""That's all right"""
NOHARMNOFOUL,"Basketball player's credo?"
NOHARMNOFOUL,"Pickup basketball rule"
NOHARMNOFOUL,"Rule at a pickup game, perhaps"
NOHARMNOFOUL,"Rule breaker's mantra"
NOHARMNOFOUL,"Rule-breaker's mantra"
NOHCOMPRENDO,"Comment from someone who doesn't understand Japanese theater?"
NOLENSVOLENS,"Willy-nilly"
NOMADDEPLUME,"Wandering author?"
NOMADICTRIBE,"The Mongols, for one"
NOMATTERWATT,"Unit that measures the power in a vacuum?"
NOMATTERWHAT,"Part 3 of command"
NOMDEPLUMAGE,"Peacock's pseudonym?"
NOMENCLATURE,"Alaskan city in system of names"
NOMENCLATURE,"Strange manner to clue terminology (12)"
NOMENCLATURE,"Terminology"
NOMORENOLESS,"Exactly that"
NOMUSSNOFUSS,"Line in an infomercial for a cleaning product"
NOMUSSNOFUSS,"Quick chef's slogan"
NONAGREEMENT,"""The Hatfields and McCoys is still feudin'""?"
NONCOMBATANT,"Civilian bug?"
NONESSENTIAL,"Superfluous"
NONETHEWISER,"Knowing no more than before"
NONETKIDDING,"Amusing the Muses?"
NONETKIDDING,"Lighthearted jokes from the Muses?"
NONEWSISNEWS,"Jaded comment from a constantly updated person?"
NONFATTENING,"Lite"
NONFATYOGURT,"Dairy-case display"
NONONONSENSE,"Off-limits craziness?"
NONOPERATIVE,"Broken"
NONPROFITORG,"WWW charity group?"
NONSTICKPANG,"Momentary longing?"
NONTAFFYDIET,"Avoidance of chewy candy?"
NOODGEJERSEY,"Pester Corzine and Lautenberg until they agree with you?"
NOODLEAROUND,"Experiment"
NOODLEDISHES,"Casseroles, often"
NOORREPUBLIC,"Jordan, vis-a-vis its queen?"
NOPAINNOCANE,"Basket worker's motto?"
NOPAINNOGAIN,"""I'm not feeling it yet"""
NOPAINNOGAIN,"Bodybuilder's credo?"
NOPAINNOGAIN,"Bodybuilder's mantra"
NOPAINNOGAIN,"Bodybuilder's motto"
NOPAINNOGAIN,"Macho credo"
NOPAINNOGAIN,"Personal trainer's slogan"
NOPAINNOGAIN,"Saw in a gym"
NOPAINNOGAIN,"Statement about sacrifice"
NOPAINNOGAIN,"Weightlifter's motto"
NOPAINNOGAIN,"Weightlifter's rule"
NOPROBITYMAN,"Guy lacking in rectitude?"
NORABARNACLE,"Wife James Joyce was attached to?"
NORAINNOGAIN,"Crop grower's motto?"
NORALENDERBE,"Your neighbor who won't let you borrow anything?"
NOREFSFRESNO,"New slogan for a California city trying to advertise its wild playground basketball games?"
NORMADESMOND,"""Sunset Boulevard"" character"
NORMADESMOND,"Glenn Close stage role"
NORMALLYATAX,"Part 1 of a cynical IRS observation"
NORMALSCHOOL,"Illinois college"
NORMALSCHOOL,"Teacher training institution"
NORMALVISION,"20/20"
NORMANCHURCH,"Cathedral next to the University of Oklahoma?"
NORMANCORWIN,"Wartime radio poet-dramatist (born on May 3, 1910)"
NORMANDYFELL,"D-Day headline?"
NORMANMAILER,"""At 11 A.M. ___ will speak"""
NORMANMAILER,"""Marilyn"" writer"
NORMANMAILER,"""The Executioner's Song"" Pulitzer winner, 1980"
NORMANMAILER,"... ""Postcards From the Edge""?"
NORMANMAILER,"Author of ""The Naked and the Dead"""
NORMANMAILER,"Cofounder of The Village Voice"
NORMANMAILER,"He should have written ""Postcards From the Edge"""
NORMANMAILER,"Oklahoma shipping supply?"
NORMANMAILER,"Village Voice co-founder"
NORMASHEARER,"Also-ran to Vivien Leigh at the ""GWTW"" auditions"
NORRISTROPHY,"Hockey honor"
NORSEPIRATES,"The Minnesota --"
NORTHEASTERN,"New England seabird?"
NORTHVIETNAM,"War opponent of the '60s"
NOSETHEROPES,"Smells macrame?"
NOSOLICITING,"Quip, part 3"
NOSOLICITING,"Unwelcome sign for a sales rep"
NOSOUPFORYOU,"""Seinfeld"" catchphrase"
NOSOUPFORYOU,"Words of denial in a famous Seinfeld episode"
NOSOUPFORYOU,"Words of rejection in a famous Seinfeld episode"
NOSTRANGERTO,"Familiar with"
NOSTRILDAMUS,"Frenchman who said, ""The future is so close I can smell it""?"
NOSUCHAGENCY,"Organization nickname that plays off the group's secrecy"
NOSUCHANIMAL,"Status of the NSA, some say?"
NOTAHANDICAP,"End of quote"
NOTANYLONGER,"""That used to be the case"""
NOTARYPUBLIC,"Professional witness"
NOTBADBREATH,"""I can see you on a cold day and you're like a cloud...I'm impressed..."""
NOTCUTOUTFOR,"Unsuited to, as a job applicant"
NOTFOOLPROOF,"Flawed, as a plan"
NOTFORALLTHE,"Question, part 3"
NOTHAPPENING,"""Forget it!"""
NOTHINGATALL,"[See Notepad]"
NOTHINGCOMES,"Writer's block a la Cole Porter?"
NOTHINGDOING,"""Forget about it!"""
NOTHINGDOING,"""Uh-uh!"""
NOTHINGTOAIR,"Empty clothesline's problem?"
NOTHINGTOSAY,"End of review"
NOTHINTOLOSE,"Kiss debut classic without repercussions?"
NOTIMETOLOSE,"""Hurry!"""
NOTINAGOMOOD,"Unenthusiastic about playing an ancient Chinese boardgame"
NOTINCORRIGE,"End of the message (we warned you!)"
NOTLISTENING,"End of the quip"
NOTORIOUSBIG,"Brooklyn-born rap artist"
NOTREELECTED,"Voted out of office"
NOTSURETHING,"""Hmmm...I'm stumped as to how you landed a role on 'The Addams Family'..."""
NOTTOBETRIED,"End of the quip"
NOTTOMENTION,"Also"
NOTTOMENTION,"Let alone"
NOTUPTOSPEED,"Doing poorly at the marathon"
NOTURNONREED,"Nickname for critic Rex who doesn't sexually excite anyone?"
NOTWORTHAFIG,"Valueless"
NOTWORTHASOU,"Of no value"
NOTWORTHASOU,"Utterly useless"
NOTWORTHASOU,"Valueless"
NOUGATPRISON,"Where candy is locked away?"
NOUNNONSENSE,"Strict grammarian's bugaboo?"
NOUVEAURICHE,"Parvenus"
NOVELTYCHECK,"It doesn't portray a big win nearly as well when it's regular-sized"
NOVEMBERIITH,"Today, really"
NOVEMBERRAIN,"Guns N' Roses ballad"
NOVEMBERRAIN,"Guns N' Roses hit song"
NOWADAYSWHEN,"Start of a query"
NOWAYSTATION,"Depot with a defeatist staff?"
NOWHERETORUN,"1978 David Janssen movie"
NOWOMANNOCRY,"Bob Marley song redone by the Fugees in 1996"
NTYDAYWONDER,"Neophyte officer"
NUCLEARBLAST,"Fallout cause"
NUCLEARBLAST,"Good time at the power plant?"
NUCLEARBLAST,"Physicists' fete?"
NUCLEARFORCE,"The physicists got together to form a ___"
NUCLEARSENAL,"START Treaty subject"
NUCLEARTITLE,"""The China Syndrome,"" e.g.?"
NUCLEICACIDS,"Genetic carriers"
NUDEALLYSANG,"Clothesless confederate caroled?"
NUDGENASALLY,"Poke with one's proboscis?"
NUDGENASALLY,"Prod with one's nose?"
NUDISTCOLONY,"Ants without pants?"
NUDISTCOLONY,"Bad place for the modest"
NUDISTCOLONY,"Group with no coverage?"
NUISANCESUIT,"Ambulance chaser's ploy"
NUMBEDUPLOOM,"Anesthetized weaver?"
NUMBERPLEASE,"""More Novocaine""?"
NURSEMIDWIFE,"Birth mother's helper"
NURSERYCRIME,"Taking candy from a baby?"
NURSERYRHYME,"Simple verse"
NURSESASIDES,"Comments heard by the audience but not the patient?"
NUSOUTHWALES,"Greek territory of Australia?"
NUTBROWNHALE,"Nathan after sunbathing?"
NUTHATCHPALM,"Tree favored by a small woodland bird?"
NUTHINBUTAGT,"1993 #2 hit by Dr. Dre"
NUTMEGFOSTER,"Spicy star of 'The Emerald Forest'?"
NUTMEGGARDEN,"Spice harvester's place?"
NUTSANDBOLTS,"Essentials"
NUTSANDBOLTS,"Nitty-gritty"
NUTTERBUTTER,"Goober-shaped sandwich cookie"
NYMPHBALANCE,"Attribute of a water-skiing naiad?"
OAKLANDRATER,"Team scout?"
OAKLANDSLIDE,"Political victory in California"
OATHOFOFFICE,"Inauguration highlight"
OATHOFOFFICE,"You need to raise your hand to receive this"
OATRIDGEBOYS,"Quartet that's into a bit of granola?"
OATSTURNINTO,"Part 3 of the quip"
OAXACAMEXICO,"City home to Benito Juárez"
OBERAMMERGAU,"Passion play town"
OBERONKENOBI,"Character from 'A Midsummer Jedi Knight's Dream'?"
OBEYEDTHELAW,"Was an upstanding citizen"
OBEYHISWORDS,"End of the riddle"
OBEYREDFLAGS,"Road sign, or referee's rule"
OBIWANKENOBI,"""The Force will be with you, always"" speaker"
OBIWANKENOBI,"Role for Alec Guinness and Ewan McGregor"
OBJECTLESSON,"Unfortunately close ten jobs, for example (6,6)"
OBJETSDHEART,"Cupid's collections"
OBLADIOBLADA,"Beatles song used as the theme for ""Life Goes On"""
OBLADIOBLADA,"White Album classic"
OBLIQUEANGLE,"Measurement that's never right"
OBLIQUEANGLE,"Smart investment for geometry students?"
OBOEANDCOVER,"*Protection method from flying debris"
OCCASIONALLY,"From time to time"
OCCUPIESLAND,"SQUATS"
OCEANSELEVEN,"1960 Rat Pack comedy"
OCEANSELEVEN,"1960 Rat Pack film"
OCEANSELEVEN,"1960 Sinatra movie"
OCEANSELEVEN,"1960 crime comedy starring the Rat Pack"
OCEANSELEVEN,"2001 George Clooney movie"
OCEANSELEVEN,"George Clooney remake"
OCEANSELEVEN,"Odd group that included Sammy Davis, Jr."
OCEANSELEVEN,"Photographer Adams appearing in a Rat Pack film?"
OCEANSELEVEN,"Rat Pack comedy"
OCEANSELEVEN,"Sinatra movie"
OCEANSELEVEN,"Sinatra movie that's all wet?"
OCEANSTWELVE,"2004 sequel to a 2001 remake of a 1960 film"
OCLOCKSHADOW,"Five missing before shaving?"
OCTAGONHOUSE,"Mid 19th-century home style"
OCTOBERFIFTH,"Subject of this puzzle"
ODDBALLLLAMA,"South American misfit?"
ODDSENSATION,"Weightlessness, to first-timers"
ODEOFSILENCE,"Poem not meant to be recited?"
ODETOTHEWEST,"Shelley poem"
ODIETOILETTE,"Perfume at Garfield's house?"
OERANEBONLEA,"""Above One Black Meadow"", poetically"
OEUFBROADWAY,"Venue for a play like Omelette?"
OFATHEORYHAS,"Quip: Part 2"
OFEMPLOYMENT,"Part 3 of the quote"
OFFELECTIONS,"Events that result in unsatisfactory officeholders?"
OFFELECTIONS,"Time for some to vote, minus one year?"
OFFERYOURARM,"Tender help to a walker"
OFFICEADVICE,"Tips at work?"
OFFICEDESPOT,"Company that targets iron-fisted bosses?"
OFFICEHOLDER,"Functionary from ticket endings"
OFFICEKNACKS,"Skills needed for a business workplace?"
OFFICEROCKER,"Piece of White House furniture?"
OFFICERSMESS,"Major's hangout"
OFFTACKLERUN,"Quarterback call"
OFFTHERECORD,"Not to be published"
OFFWITHHISAD,"Negative response to a candidate's commercial?"
OFFYOURCHEST,"GET IT ---"
OFHISCALIBER,"End of the answer"
OFLICEANDMEN,"Story of bad hair hygiene?"
OFMEDIOCRITY,"End of the quotation"
OFMEISSENMEN,"Steinbeck story about German porcelain makers?"
OFMICEANDMEN,"""A few miles south of Soledad, the Salinas River drops in close to the hillside bank and runs deep and green."""
OFMICEANDMEN,"1937 novella (and the theme of this puzzle)"
OFPIETOPPING,"Riddle, part 5"
OFSEPARATION,"See 19A"
OFSTERNFOUND,"Quip, Part 5"
OFTENRUNNING,"Like an avid jogger?"
OFTENRUNNING,"Like my nose in winter?"
OFTHEPASTALL,"Part 2 of the observation"
OFTHEPOWEROF,"Part 2 of remark"
OFTHEPOWEROF,"Part two of the quip"
OGREENTRANCE,"Foyer camouflaging Shrek?"
OHDADPOORDAD,"Arthur Kopit play, in part"
OHDARNMYLUCK,"""Gee, wouldn't that just figure..."""
OHIOTURNPIKE,"Its eastern end passes south of Youngstown"
OHLADYBEGOOD,"Gershwin song in a 1924 Astaire musical"
OHMYGOODNESS,"""Golly!"""
OHOLEYKNIGHT,"Song about a guy who's been jousting way too long?"
OILANDFILTER,"Items replaced during lube job (3,3,6)"
OILCANCANCAN,"Former Red Sox pitcher's dance"
OILDISCOVERY,"Strike (one)"
OILEDMAGNATE,"Drunk business bigwig?"
OILPAINTSETS,"Why kindergarten teachers choose watercolors?"
OKLAHOMACATS,"Musical about tigers taking over Tulsa?"
OKLAHOMACITY,"Home of the NBA's Thunder"
OKLAHOMACRUX,"Broadway musical's slick turning point?"
OKLAHOMAMAMA,"American mother?"
OLDBLUEJEANS,"THEME ENTRY"
OLDBROWNSHOE,"George Harrison song off ""Hey Jude"""
OLDCHESTNUTS,"Stale anecdotes"
OLDCOLDSCOLD,"Aged, unemotional shrew?"
OLDDEVILMONO,"Sinatra song about why he had to cancel a concert?"
OLDFASHIONED,"Frumpy"
OLDFASHIONED,"Fuddy-duddy"
OLDGOLDSIDES,"U.S. ship transmuted"
OLDGRAYMARIO,"Aging Nintendo icon?"
OLDIRONSIDES,"""Constitution"""
OLDIRONSIDES,"USS Constitution's nickname"
OLDIRONSIDES,"What the Constitution is called"
OLDLINESTATE,"Maryland's nickname"
OLDMACDONALD,"Non-PC farmer?"
OLDMACDONALD,"Subject of a children's song associated with the vowels in the answer to each starred clue"
OLDMANWINTER,"He might put chills up your spine"
OLDMANWINTER,"Snow bringer"
OLDMASONJARS,"Why some find comic Jackie disagreeable?"
OLDPERFESSOR,"26A affectionately"
OLDSCHOOLAND,"Part 2 of the quote"
OLDSMOBILEEE,"Model whose glory days were 1950-74"
OLDSOWANDSOW,"Barnyard crone?"
OLDWIVESTAIL,"Matronly appendage?"
OLDWIVESTALE,"Dowager's bridal contribution?"
OLDWIVESTILE,"Scrabble piece in a retirement home?"
OLEANDBEHOLD,"Amazed exclamations from bullfight spectators?"
OLECOUNTRIES,"Mexico and Spain?"
OLEODUROCHER,"Slick baseball great?"
OLEOONANOREO,"Crossworder's butter cookie substitute?"
OLIVEASUDDEN,"Quickly, in a grove?"
OLIVECORONET,"Army beauty pageant topper? (Vito Corleone ""reformed"")"
OLIVEINACAVE,"Grotto bar's martini garnish?"
OLIVERHAIROV,"Russian cosmetologist who does full body waxing?"
OLIVESKINNED,"Having a yellowish-brown complexion"
OLLYOXENFREE,"*""You can come out now"""
OLLYOXENFREE,"Partly doubled, a call in a game"
OLYMPIASNOWE,"Maine senator since 1995"
OLYMPIASNOWE,"Maine's junior Senator"
OLYMPIASNOWE,"Senator who speaks fluent Greek"
OLYMPICGAMES,"1896 event, absent since A.D. 394"
OLYMPICGAMES,"Event scheduled for London in 2012"
OLYMPICLUGER,"Isled"
OLYMPICMEDAL,"Gold, silver or bronze prize"
OMAHAHIGHLOW,"Popular split game*"
OMEGAGAMMAPI,"Fraternity started at the University of Michigan"
OMNIMAGAZINE,"Defunct science and science fiction monthly"
OMNIPOTENTAX,"Hatchet that can chop through anything"
OMOFTHEBRAVE,"Syllable chanted by fearless folks?"
OMONTHERANGE,"Cowboy's mantra?"
ONAFOOLSERIN,"Touring Ireland with a silly crossworder?"
ONANEVENKEEL,"Steadily"
ONANEVENKEEL,"Well-balanced"
ONANEVENKLEE,"Where to find smooth canvas?"
ONBENDEDKNEE,"1994 hit for Boyz II Men"
ONBENDEDKNEE,"How the would-be groom proposed"
ONCEINAWHILE,"At times"
ONCEINAWHILE,"From time to time"
ONCEINAWHILE,"Occasionally"
ONCETOOOFTEN,"Past the breaking point"
ONCEYOUTAKEA,"Start of a quip"
ONCOLORJOKES,"Humor that doesn't cause a blush?"
ONCOMMISSION,"How some salespeople are paid"
ONEADDERTIME,"Occasion for a single snake?"
ONEARMEDBAND,"Combo for ""The Fugitive"" villain?"
ONEARMEDBAND,"Maimed musicians?"
ONEARMEDBAND,"Troupe of suspects from ""The Fugitive""?"
ONEASYSTREET,"Comfortable"
ONEASYSTREET,"Loaded"
ONEASYSTREET,"Rolling in money"
ONEASYSTREET,"Sitting pretty financially"
ONEASYSTREET,"Well-off"
ONECARDDRAWS,"What lowball players like*"
ONEDOESNTEAT,"End of the quip"
ONEEYEDJACKS,"Featured star's movie (1960)"
ONEEYEDJACKS,"Frost and Sprat with 20-0 vision?"
ONEEYEDJACKS,"They might be wild in a poker game"
ONEFORMYABBY,"Sinatra song about his favorite gossip columnist?"
ONEFORMYBABY,"""It's quarter to three..."" (Sinatra)"
ONEFORMYBABY,"*Tony Parsons novel [1943 song]"
ONEFORMYBABY,"Sinatra standard with ""So set 'em up, Joe"""
ONEFORTENNIS,"Annie ___"
ONEGUNSALUTE,"20... (when completed, a military salvo)"
ONEHITWONDER,"Short-lived success"
ONEHORSETOWN,"Burg that lacks a stoplight, say"
ONEHORSETOWN,"Jerkwater place"
ONEHORSETOWN,"Podunk"
ONEHORSETOWN,"Podunk, proverbially?"
ONEHORSETOWN,"Small rural community"
ONEHORSETOWN,"Whistle stop"
ONEHUNDREDGS,"Tenth of a mil"
ONELONECLONE,"A single copy?"
ONELUMPORTWO,"Choice words?"
ONELUMPORTWO,"Hostess's question"
ONELUMPORTWO,"Tea server's question"
ONELUMPORTWO,"Teatime query"
ONEMINTJULEP,"R&B ""drinking song"" covered by Ray Charles"
ONEMITESTAND,"Buggy fling?"
ONEMORENIGHT,"A: Ready to start? T: I wish I had ___ (Phil Collins)"
ONEMORETHING,"""And while I'm on the subject..."""
ONENICEROMAN,"All Agrippina really wanted"
ONENIGHTSTAN,"Guy who never gets a second date?"
ONEOFTHEBEST,"Words of wisdom, part 1"
ONEOFTHEGUYS,"Either Madison or de Maupassant?"
ONEOFTHEGUYS,"Jasmine's family member"
ONEPOLICEMAN,"Bull"
ONETONESTONE,"Monochromatic rock?"
ONETONESTONE,"Rock that's only a single color?"
ONETOWNHORSE,"Stay-at-home nag?"
ONETRACKMIND,"A monomaniac has it"
ONETRACKMIND,"Engineer's downfall?"
ONETRACKMIND,"Fixation"
ONETRICKPONY,"Person who's talented but not versatile"
ONETRUETHING,"Anna Quindlen best-seller"
ONEUPMANSHIP,"Successful competitor's skill"
ONEWAYSTREET,"Where you can't make an 180 degree turn"
ONEWAYTICKET,"Emigre's purchase?"
ONEWAYTICKET,"Relocater's purchase?"
ONEWAYTICKET,"Traveler's purchase"
ONEWHOLIGHTS,"Part 2 of the definition"
ONFIREATWILL,"Skilled at spontaneous combustion?"
ONGOLDENPOND,"1981 Fonda/Hepburn classic"
